rank,internal_row_id,canonical_name,score,bucket,city,sector_label,website,normalized_domain,address,google_category,google_maps_url
65,uae-pilot-0290,MAPCO LLC,60,high_priority_verification,Abu Dhabi,Construction,https://www.almazroui.com/business-activities/industrial-technology/mapco,almazroui.com,"703, Al Yasat Tower, Fatima Bint Mubarak Street, Abu Dhabi, UAE - Abu Dhabi - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=MAPCO%20LLC&query_place_id=ChIJU8tuLl1mXj4RkV6cHav9P1o
66,uae-pilot-0337,O B M General Contracting,60,high_priority_verification,Abu Dhabi,Construction,https://www.obm.ae/,obm.ae,Prestige Tower 17 - شارع ٧٩ - Mohamed Bin Zayed City - ME2 - Abu Dhabi - United Arab Emirates,Building firm,https://www.google.com/maps/search/?api=1&query=O%20B%20M%20General%20Contracting&query_place_id=ChIJGfpWRABHXj4Rha6BZqUOShI
67,uae-pilot-0365,Rakhat Construction LLC,60,high_priority_verification,Dubai,Construction,https://rakhatconstruction.com/,rakhatconstruction.com,"building - Office 211,2nd Floor, Dry Docks clinic - Jumeirah Brg - Al Mina - Dubai - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Rakhat%20Construction%20LLC&query_place_id=ChIJGYmhpqRDXz4RHlprynZ4QhA
68,uae-pilot-0075,Altimus Office Supplies & Stationery Abu Dhabi,59,high_priority_verification,Abu Dhabi,Other,https://www.altimus.ae/,altimus.ae,,Office supply store,https://www.google.com/maps/search/?api=1&query=Altimus%20Office%20Supplies%20%26%20Stationery%20Abu%20Dhabi&query_place_id=ChIJdU-LnCNmXj4RbtxZ8-jpI0o
69,uae-pilot-0107,Bahat Experience Centre,59,high_priority_verification,Dubai,Construction/Real Estate (secondary),https://bahat.ae/,bahat.ae,Al Wasl Rd - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,Real estate developer,https://www.google.com/maps/search/?api=1&query=Bahat%20Experience%20Centre&query_place_id=ChIJzfI3CSsIa60RKO7pL6ZZYZo
70,uae-pilot-0255,Innospace Interior Design,59,high_priority_verification,Abu Dhabi,Interior Design (secondary),https://innospace.ae/,innospace.ae,"Office 24, 6th Floor, Tower - 2 79th St - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates",Interior designer,https://www.google.com/maps/search/?api=1&query=Innospace%20Interior%20Design&query_place_id=ChIJ3wjRUBlHXj4R9rtuFprONRw
71,uae-pilot-0264,Jebal Alkhaleej Gadens Cordination,59,high_priority_verification,Abu Dhabi,Interior Design (secondary),http://www.jebalalkhaleej.ae/,jebalalkhaleej.ae,شارع المحروز - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,Landscape designer,https://www.google.com/maps/search/?api=1&query=Jebal%20Alkhaleej%20Gadens%20Cordination&query_place_id=ChIJrUfBTbBHXj4RP6CxEvGW9aU
72,uae-pilot-0312,Mudinvoation Interior Design,59,high_priority_verification,Abu Dhabi,Interior Design (secondary),http://mudinvoation.ae/,mudinvoation.ae,Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Mudinvoation%20Interior%20Design&query_place_id=ChIJhd2itC9HXj4RwDBqnRIIf4s
73,uae-pilot-0017,"Accountax: Corporate Tax, Accounting & Taxation Services UAE",58,high_priority_verification,Abu Dhabi,Accounting/Audit,https://accountaxuae.com/,accountaxuae.com,"Khalifa Complex B - Office No M103/19, Mezzanine Floor - Ahmed Bin Hamed Al Hamed St - Al Zahiyah - E16 - Abu Dhabi - United Arab Emirates",Tax consultant,https://www.google.com/maps/search/?api=1&query=Accountax%3A%20Corporate%20Tax%2C%20Accounting%20%26%20Taxation%20Services%20UAE&query_place_id=ChIJl9u9UjJnXj4RxA_5ep--tR0
74,uae-pilot-0026,AHMED SULTAN AL ALI(ASAA) Accounting & Bookkeeping Service in Dubai,58,high_priority_verification,Dubai,Accounting/Audit,http://asaaaccounts.com/,asaaaccounts.com,"Al Badoor, Building - 11, 2nd Floor - Baniyas Rd - Al Rigga - Deira - Dubai - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=AHMED%20SULTAN%20AL%20ALI(ASAA)%20Accounting%20%26%20Bookkeeping%20Service%20in%20Dubai&query_place_id=ChIJWagT181DXz4RTs2fl-FTNto
75,uae-pilot-0029,AJA Expert Accounting,58,high_priority_verification,Dubai,Accounting/Audit,https://www.ajaexperts.com/,ajaexperts.com,Business Center - 106 A1Mas - Mankhool - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=AJA%20Expert%20Accounting&query_place_id=ChIJ5WEgffJpXz4RO1Y6580NPEI
76,uae-pilot-0030,Akfa Accounting and Tax Consultancy,58,high_priority_verification,Abu Dhabi,Accounting/Audit,https://akfaaccounting.com/,akfaaccounting.com,Hajjaj Bin Malik St - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Akfa%20Accounting%20and%20Tax%20Consultancy&query_place_id=ChIJe-2bPeVHXj4RQKyjbF9B3JM
77,uae-pilot-0049,AL MAASE AUDITING,58,high_priority_verification,Abu Dhabi,Accounting/Audit,https://www.almaase.com/,almaase.com,"New Global Tower , Building C21 , Office 1802, Near ADCB Headquarters, Opposite CBD Bank,Electra Street, Abu Dhabi, UAEpposite - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=AL%20MAASE%20AUDITING&query_place_id=ChIJ0c_VVU1HXj4RihAOJ77YMEo
78,uae-pilot-0059,Al Saqr Accounting and Bookkeeping,58,high_priority_verification,Dubai,Accounting/Audit,http://www.alsaqr-uae.com/,alsaqr-uae.com,Al Karama - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Al%20Saqr%20Accounting%20and%20Bookkeeping&query_place_id=ChIJdzL-eqVDXz4Rk4j0v6TNg-U
79,uae-pilot-0171,Dr AK Health Care Medical Center L.L.C,58,reject,Dubai,Healthcare,http://www.draneshk.com/,draneshk.com,AL Ghazal Mal - 34&35 Mezzanine floor - Al Wasl Rd - Al Bada' - Dubai - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Dr%20AK%20Health%20Care%20Medical%20Center%20L.L.C&query_place_id=ChIJ04RwG9ZDXz4RvtXr-a3jKrU
80,uae-pilot-0218,German Fintax Consultancy,58,high_priority_verification,Dubai,Accounting/Audit,https://www.germanfintaxconsultancy.com/,germanfintaxconsultancy.com,"P114 Sheikha Maryam Building - Office No. 07, 703 - 7th Baniyas Rd - Al Rigga - Deira - Dubai - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=German%20Fintax%20Consultancy&query_place_id=ChIJiz6j-XPD6EgRzzcthuA07gw
81,uae-pilot-0333,NR Doshi and Partners - Dubai,58,high_priority_verification,Dubai,Accounting/Audit,https://www.nrdoshi.ae/,nrdoshi.ae,Burjuman، Office Tower - L 24/01 & 24/02 - Mankhool - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=NR%20Doshi%20and%20Partners%20-%20Dubai&query_place_id=ChIJFRlpdDtDXz4RxYRTZm-GI5I
82,uae-pilot-0366,Rank Accounting and Consultancy LLC,58,high_priority_verification,Dubai,Accounting/Audit,http://www.rank-consultancy.com/,rank-consultancy.com,"Alfa Hub, Mankhool Building - 4W3, 4th Floor - 4 E St - Mankhool - Dubai - United Arab Emirates",Auditor,https://www.google.com/maps/search/?api=1&query=Rank%20Accounting%20and%20Consultancy%20LLC&query_place_id=ChIJjwowadRDXz4ReEZgvB7S0uw
83,uae-pilot-0410,STERLING ACCOUNTING AND TAX CONSULTANCY LLC,58,high_priority_verification,Abu Dhabi,Accounting/Audit,https://www.sterlingaudit.com/,sterlingaudit.com,"Office 409, Mazyad Mall Tower 1 - Abu Dhabi - United Arab Emirates",Chartered accountant,https://www.google.com/maps/search/?api=1&query=STERLING%20ACCOUNTING%20AND%20TAX%20CONSULTANCY%20LLC&query_place_id=ChIJwYsfLm5HXj4RNhkxmoW3Aco
84,uae-pilot-0452,Zaebek Consultancy Services,58,high_priority_verification,Abu Dhabi,Accounting/Audit,https://zaebek.com/,zaebek.com,Al Dolphin street - Mussafah - C236 - Mohamed Bin Zayed City - ME11 - Abu Dhabi - United Arab Emirates,Accountant,https://www.google.com/maps/search/?api=1&query=Zaebek%20Consultancy%20Services&query_place_id=ChIJ_0qG0FZBXj4RRFHcddI4PVc
85,uae-pilot-0454,Zayan Wellness Medical Center,58,high_priority_verification,Dubai,Healthcare,https://zayanwellness.com/,zayanwellness.com,Mall - Shop 103 - Al Mina St - Al Hudaiba - Dubai - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Zayan%20Wellness%20Medical%20Center&query_place_id=ChIJ8dlGtppDXz4RyHfedUbstTY
86,uae-pilot-0068,AlHesabat Financial Consulting,57,high_priority_verification,Abu Dhabi,Accounting/Audit,https://www.alhesabat.ae/,alhesabat.ae,,Accounting firm,https://www.google.com/maps/search/?api=1&query=AlHesabat%20Financial%20Consulting&query_place_id=ChIJEVCQz7l9haQRmVnQG3Aa7zg
87,uae-pilot-0077,Am Audit,57,high_priority_verification,Abu Dhabi,Accounting/Audit,https://amaudit.ae/,amaudit.ae,"Sky Tower - Office 2905, D147, Floor 29 - Al Reem Island - Shams Abu Dhabi - Abu Dhabi - United Arab Emirates",Auditor,https://www.google.com/maps/search/?api=1&query=Am%20Audit&query_place_id=ChIJYWwaY3NnXj4Rx8p_iBfchB4
88,uae-pilot-0281,LSC FREIGHTS & LOGISTICS LLC,57,high_priority_verification,Dubai,Logistics (secondary),http://www.lscfreights.com/,lscfreights.com,Montana Building - Office 206 Za'abeel St - Al Karama - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=LSC%20FREIGHTS%20%26%20LOGISTICS%20LLC&query_place_id=ChIJezR_pXhnXz4RS4kT7OwZb_Y
89,uae-pilot-0421,The Accountant LLC – ADGM,57,high_priority_verification,Abu Dhabi,Accounting/Audit,https://theaccountant.ae/,theaccountant.ae,"Res Co-Work, PIXEL tower - 6 55 1st - Al Reem Island - RS4 - Abu Dhabi - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=The%20Accountant%20LLC%20%E2%80%93%20ADGM&query_place_id=ChIJA9MGqNNnXj4RRRZP0Wo55cU
90,uae-pilot-0021,ADC Architectural & Engineering Consultants,56,high_priority_verification,Dubai,Architecture,http://www.adcconsultant.com/,adcconsultant.com,Nassima Tower - 1002 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,Architectural designer,https://www.google.com/maps/search/?api=1&query=ADC%20Architectural%20%26%20Engineering%20Consultants&query_place_id=ChIJAZ6YCOZCXz4RTOu76DCDO8A
91,uae-pilot-0031,AKSG Building Contracting L.L.C,56,high_priority_verification,Dubai,Construction,https://www.aksggroup.com/,aksggroup.com,Office Land Building - 2nd Floor - Al Karama - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=AKSG%20Building%20Contracting%20L.L.C&query_place_id=ChIJzQKanVbGPWkRdvIJ25-xBhA
92,uae-pilot-0036,"AL DHABI Engineering, Environmental and Arbitration Consultancy",56,high_priority_verification,Abu Dhabi,Engineering,https://aldhabiae.com/,aldhabiae.com,13 Al Shu'ara St - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=AL%20DHABI%20Engineering%2C%20Environmental%20and%20Arbitration%20Consultancy&query_place_id=ChIJXxi_XOlHXj4R8uyEuveZRf0
93,uae-pilot-0046,Al Jabal Engineering Consultancy Establishment,56,high_priority_verification,Dubai,Engineering,https://www.protenders.com/companies/al-jabal-engineering-consultancy-establishment,protenders.com,68V6+79P - Umm Hureir Road - Oud Metha - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Al%20Jabal%20Engineering%20Consultancy%20Establishment&query_place_id=ChIJQ1toZdRCXz4R678pYQs4xeI
94,uae-pilot-0070,Alliance Architectural Engineering Consultants,56,high_priority_verification,Dubai,Architecture,http://www.allianceaec.com/,allianceaec.com,"Sama Tower, Office Nr - 405, Floor Level - 4 Sheikh Zayed Rd - Dubai - United Arab Emirates",Architecture firm,https://www.google.com/maps/search/?api=1&query=Alliance%20Architectural%20Engineering%20Consultants&query_place_id=ChIJ0VqwKn1DXz4R-1-VcG9CHmc
95,uae-pilot-0093,𝐀𝐫𝐭 𝐃𝐞𝐜𝐨 𝐄𝐧𝐠𝐢𝐧𝐞𝐞𝐫𝐢𝐧𝐠 𝐂𝐨𝐧𝐬𝐮𝐥𝐭𝐚𝐧𝐭,56,high_priority_verification,Abu Dhabi,Engineering,http://www.artdecoeng.com/,artdecoeng.com,شارع غمري - Mohamed Bin Zayed City - ME9 - Abu Dhabi - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=%F0%9D%90%80%F0%9D%90%AB%F0%9D%90%AD%20%F0%9D%90%83%F0%9D%90%9E%F0%9D%90%9C%F0%9D%90%A8%20%F0%9D%90%84%F0%9D%90%A7%F0%9D%90%A0%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%9E%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0%20%F0%9D%90%82%F0%9D%90%A8%F0%9D%90%A7%F0%9D%90%AC%F0%9D%90%AE%F0%9D%90%A5%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%A7%F0%9D%90%AD&query_place_id=ChIJ0f4j-8pHXj4Rn55Tt6S18tA
96,uae-pilot-0095,ARTEC - Architectural & Engineering Consultants,56,high_priority_verification,Dubai,Architecture,http://www.artecint.com/,artecint.com,67QC+Q93 - 2nd December St - Jumeirah - Jumeira First - Dubai - United Arab Emirates,Architectural designer,https://www.google.com/maps/search/?api=1&query=ARTEC%20-%20Architectural%20%26%20Engineering%20Consultants&query_place_id=ChIJxxgnYABDXz4RgCznpdcV0ao
97,uae-pilot-0125,CACTUS MEGA BUILDING & CONSTRUCTIONS PROJECTS- SOLE PROPRIETORSHIP L.L.C.,56,high_priority_verification,Abu Dhabi,Construction,https://www.cactusme.org/,cactusme.org,Mazyadmall Tower 2- 429 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=CACTUS%20MEGA%20BUILDING%20%26%20CONSTRUCTIONS%20PROJECTS-%20SOLE%20PROPRIETORSHIP%20L.L.C.&query_place_id=ChIJGRRosA5HXj4RzlBCiU3JG_M
98,uae-pilot-0146,Concept Plus Architects,56,high_priority_verification,Abu Dhabi,Engineering,https://linktr.ee/cpaconceptplusarchitect?utm_source=linktree_admin_share,linktr.ee,"Mazyad, Mall Tower 3 - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates",Engineering consultant;Architecture firm,https://www.google.com/maps/search/?api=1&query=Concept%20Plus%20Architects&query_place_id=ChIJTw8Fi9ZHXj4RqP01K9H7w2c
99,uae-pilot-0160,Desert Tech Building Contracting LLC,56,high_priority_verification,Dubai,Construction,https://deserttechdubai.com/,deserttechdubai.com,"Corporate Centre, First Floor, Al Rumaithy Building No.04 Opposite Aster Maternity Hospital, Al Mankhool Area - Kuwait St - Dubai - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Desert%20Tech%20Building%20Contracting%20LLC&query_place_id=ChIJY0_ENWlDXz4RIjBfsq7wiWA
100,uae-pilot-0248,ibda design,56,high_priority_verification,Dubai,Architecture,http://www.ibdadesign.com/,ibdadesign.com,5 22A street - Al Muraqqabat - Deira - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=ibda%20design&query_place_id=ChIJ6QjnNcpcXz4RvafaZYY1tnw
101,uae-pilot-0307,Modon Designs,56,high_priority_verification,Dubai,Architecture,http://www.modondesigns.com/,modondesigns.com,Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=Modon%20Designs&query_place_id=ChIJuWIOB81DXz4RaTdqPo_gZLo
102,uae-pilot-0310,Montanum Design and Architecture,56,high_priority_verification,Dubai,Architecture,https://www.montanumo.com/,montanumo.com,Saih Shuaib - 120 2nd St - Al Satwa - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=Montanum%20Design%20and%20Architecture&query_place_id=ChIJQT0TEOZrXz4RxGpJcULxsXo
103,uae-pilot-0355,Power Links Taxation & Accounting Firm,56,high_priority_verification,Dubai,Accounting/Audit,https://www.vatlinks.com/,vatlinks.com,Office No - 1 Al Qiyadah metro Exit -1 - beside Baqer Mohibi Supermarket - Hor Al Anz East - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Power%20Links%20Taxation%20%26%20Accounting%20Firm&query_place_id=ChIJnQaQQM9DXz4RAPZhx3Y5a7Q
104,uae-pilot-0370,Reliable Engineering Consultancy LLC,56,high_priority_verification,Abu Dhabi,Engineering,https://www.reliableengineeringconsultancy.com/,reliableengineeringconsultancy.com,"Office M4,Building C72 - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates",Engineering consultant,https://www.google.com/maps/search/?api=1&query=Reliable%20Engineering%20Consultancy%20LLC&query_place_id=ChIJOdyQ1Vp-qGgR922OhFBtxFY
105,uae-pilot-0375,Saad Alhulul Technical Services,56,high_priority_verification,Dubai,Construction,https://www.saadtech.com/,saadtech.com,"Phase 1 ,Block J, unit 7,8 - Dubai Industrial city - Dubai - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Saad%20Alhulul%20Technical%20Services&query_place_id=ChIJ47kLSkRdXz4RDJOL2uHDE0w
106,uae-pilot-0392,SharpMinds Consulting Engineers,56,high_priority_verification,Dubai,Architecture,https://www.sharpmindsce.com/,sharpmindsce.com,Jumeirah Terrace Building Office 211 - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=SharpMinds%20Consulting%20Engineers&query_place_id=ChIJkQBRrJJDXz4RmrE_HOoor0I
107,uae-pilot-0405,SPML Regional Office,56,high_priority_verification,Dubai,Construction,http://shapoorjipallonji.com/,shapoorjipallonji.com,67VG+8V9 - Al Mina St - Al Hudaiba - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=SPML%20Regional%20Office&query_place_id=ChIJtwcjSgBDXz4RUv-IFLZtNzY
108,uae-pilot-0407,SSA LOGISTICS SERVICES,56,high_priority_verification,Abu Dhabi,Logistics (secondary),http://www.ssa-logistics.ae/,ssa-logistics.ae,شارع المطار - Sheikh Rashid Bin Saeed St - Al Nahyan - Zone 1 - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=SSA%20LOGISTICS%20SERVICES&query_place_id=ChIJYSaT1ihpXj4RvzLD38Rjfp0
109,uae-pilot-0420,TECHNOVEND,56,high_priority_verification,Abu Dhabi,Construction,https://www.technovend.com/,technovend.com,"Mazyad mall - 903 , office 1 - Mohamed Bin Zayed City - Z9 01 - Abu Dhabi - United Arab Emirates",General contractor,https://www.google.com/maps/search/?api=1&query=TECHNOVEND&query_place_id=ChIJl6ecPeRHXj4RVnKXJW5GJH8
110,uae-pilot-0041,Al Hawraa Engineering Consultants,55,high_priority_verification,Dubai,Engineering,http://www.alhawraa-engg.com/,alhawraa-engg.com,Latifa Tower - Trade Center First - Dubai - United Arab Emirates,Building consultant,https://www.google.com/maps/search/?api=1&query=Al%20Hawraa%20Engineering%20Consultants&query_place_id=ChIJk94bPrJDXz4Rqv_fkXiy4wM
111,uae-pilot-0145,Concept Consulting Engineers,55,high_priority_verification,Dubai,Engineering,https://conceptdxp.com/,conceptdxp.com,el-sheikh bin zayed - Al Karama - Dubai - United Arab Emirates,Engineering consultant,https://www.google.com/maps/search/?api=1&query=Concept%20Consulting%20Engineers&query_place_id=ChIJd-azKN9CXz4ROVjbvE9i2yg
112,uae-pilot-0153,Craft Interiors LLC,55,high_priority_verification,Abu Dhabi,Construction,http://www.craft-interior.com/,craft-interior.com,BUILDING NO. P/221 PLOT NO. C58-MZ FLOOR 03 - Musaffah - ME10 - Abu Dhabi - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Craft%20Interiors%20LLC&query_place_id=ChIJwTzlYwo5Xj4RVHHPjkrXb2g
113,uae-pilot-0089,ARC Decore & Contracting,54,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://arcdecore.com/,arcdecore.com,"6th Floor, Mazyad Tower, Mussaffah - Mohamed Bin Zayed City - Abu Dhabi - United Arab Emirates",Interior designer,https://www.google.com/maps/search/?api=1&query=ARC%20Decore%20%26%20Contracting&query_place_id=ChIJSer58wFHXj4RK6S_wjjbCEc
114,uae-pilot-0164,Design Majlis,54,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),http://www.designmajlis.com/,designmajlis.com,Yas Mall - Yas Island - YS1 - Abu Dhabi - United Arab Emirates,Interior Decorator,https://www.google.com/maps/search/?api=1&query=Design%20Majlis&query_place_id=ChIJIXIpYxxnXj4RupC5xv1mO_w
115,uae-pilot-0181,Dstny Design Interior Decoration LLC,54,medium_priority_backlog,Dubai,Interior Design (secondary),https://dstnydesign.com/,dstnydesign.com,Latifa Tower - OFFICE NO - 3501 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=Dstny%20Design%20Interior%20Decoration%20LLC&query_place_id=ChIJW05WRsVDXz4Rw5_BEUhr_B4
116,uae-pilot-0260,J’MUR DESIGN STUDIO,54,medium_priority_backlog,Dubai,Interior Design (secondary),https://jmur-studio.com/,jmur-studio.com,1st St - Al Jafiliya - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=J%E2%80%99MUR%20DESIGN%20STUDIO&query_place_id=ChIJMcMbi6QTsEYRg2m_xDLLCfY
117,uae-pilot-0304,MLKC INTERIOR DESIGN LLC,54,medium_priority_backlog,Dubai,Interior Design (secondary),https://mlkcinterior.com/,mlkcinterior.com,Al Ketbi Buiding - Office 104 - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Interior Decorator,https://www.google.com/maps/search/?api=1&query=MLKC%20INTERIOR%20DESIGN%20LLC&query_place_id=ChIJ4aGK-h9DXz4ReyDW5z3kQCI
118,uae-pilot-0353,PLANDO Interiors & Architecture,54,medium_priority_backlog,Dubai,Interior Design (secondary),https://www.plandointeriors.com/,plandointeriors.com,Al Nahda Second - Dubai - United Arab Emirates,Interior designer,https://www.google.com/maps/search/?api=1&query=PLANDO%20Interiors%20%26%20Architecture&query_place_id=ChIJ7e9WeYVdXz4Rs6XHw5nyOJQ
119,uae-pilot-0401,Soleil Building Contracting LLC,54,medium_priority_backlog,Dubai,Construction,https://soleil-me.com/,soleil-me.com,"Al Ketbi Building 26, Al Mina road​,4th Floor Madinat Dubai - Al Mina - Dubai - United Arab Emirates",Construction company,https://www.google.com/maps/search/?api=1&query=Soleil%20Building%20Contracting%20LLC&query_place_id=ChIJec8HHUFDXz4R5RGHQK8eGVc
120,uae-pilot-0465,شركة تنسيق حدائق ابوظبي,54,medium_priority_backlog,Abu Dhabi,Interior Design (secondary),https://baytalnakhla.com/landscaping-in-abu-dhabi/,baytalnakhla.com,4 Ras Ar Riyayʹah St - Mohamed Bin Zayed City - ME10 - Abu Dhabi - United Arab Emirates,Landscape designer,https://www.google.com/maps/search/?api=1&query=%D8%B4%D8%B1%D9%83%D8%A9%20%D8%AA%D9%86%D8%B3%D9%8A%D9%82%20%D8%AD%D8%AF%D8%A7%D8%A6%D9%82%20%D8%A7%D8%A8%D9%88%D8%B8%D8%A8%D9%8A&query_place_id=ChIJxbytfYI5Xj4RF2kZPkbuPpg
121,uae-pilot-0010,Aashiyana Accounting & Bookkeeping,53,medium_priority_backlog,Dubai,Accounting/Audit,https://www.aashiyanaaccounting.com/,aashiyanaaccounting.com,Burjuman Business Tower - 16th Floor - 16th St - near Burjuman Metro Exit-3 - Mankhool - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Aashiyana%20Accounting%20%26%20Bookkeeping&query_place_id=ChIJ6QhyJg5DXz4RdIGBQ2WhoSs
122,uae-pilot-0028,AIRBEST EXPRESS CARGO LLC. ®️ ABUDHABI,53,medium_priority_backlog,Abu Dhabi,Logistics (secondary),https://airbestcargo.com/,airbestcargo.com,F9WC+WF2 - Sheikh Zayed Bin Sultan St - behind KM Trading - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=AIRBEST%20EXPRESS%20CARGO%20LLC.%20%C2%AE%EF%B8%8F%20ABUDHABI&query_place_id=ChIJgT6xdGJnXj4R0yYK3CXtIcI
123,uae-pilot-0132,Cargo Line Freight And Logistics LLC,53,medium_priority_backlog,Dubai,Logistics (secondary),https://www.cargolinefl.com/,cargolinefl.com,Al Melaheyah Plaza - Office 104 - Office Wing Al Mina St - Al Hudaiba - Al Mina - Dubai - United Arab Emirates,Logistics service,https://www.google.com/maps/search/?api=1&query=Cargo%20Line%20Freight%20And%20Logistics%20LLC&query_place_id=ChIJ4QWY6xNDXz4RuK6rkxwfWkA
124,uae-pilot-0133,"CELL MISSION MOBILES , Computers, Accessories and Repair Services - Al Satwa",53,medium_priority_backlog,Dubai,Other,http://cellmission.ae/,cellmission.ae,Al Satwa - Dubai - United Arab Emirates,Cell phone store,https://www.google.com/maps/search/?api=1&query=CELL%20MISSION%20MOBILES%20%2C%20Computers%2C%20Accessories%20and%20Repair%20Services%20-%20Al%20Satwa&query_place_id=ChIJsRDEHABDXz4R3C_rz3t4g3k
125,uae-pilot-0135,Central Services Complex | مجمع الخدمات المركزية,53,medium_priority_backlog,Dubai,Other,http://www.dubaihealth.ae/,dubaihealth.ae,Sheikh Zayed Rd - Al Jafiliya - DIFC - Dubai - United Arab Emirates,Public health department,https://www.google.com/maps/search/?api=1&query=Central%20Services%20Complex%20%7C%20%D9%85%D8%AC%D9%85%D8%B9%20%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A%D8%A9&query_place_id=ChIJ42GBCN5CXz4Rr8Lzu5J_pys
126,uae-pilot-0186,Elegant Interior Design llc,53,medium_priority_backlog,Dubai,Interior Design (secondary),http://www.elegantinteriordesignllc.com/,elegantinteriordesignllc.com,"Burjuman, Business Tower - 807 - Bur Dubai - Jumeira First - Dubai - United Arab Emirates",Interior designer,https://www.google.com/maps/search/?api=1&query=Elegant%20Interior%20Design%20llc&query_place_id=ChIJMzPpuyVDXz4R-ns6SpYvHE4
127,uae-pilot-0188,Elite Consults LLC,53,medium_priority_backlog,Dubai,Accounting/Audit,https://www.elite-cas.com/,elite-cas.com,"ADCB Metro, Crystal Business Tower - 17&18-203, Tamdeen Business Center - Al Karama - Dubai - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Elite%20Consults%20LLC&query_place_id=ChIJ8etBFDWYDYkRhSrSnRKZzBQ
128,uae-pilot-0189,Elqen Chartered Accountants,53,medium_priority_backlog,Dubai,Accounting/Audit,https://elqen-cpa.com/,elqen-cpa.com,"Your Own Business Center, Al Maskan Building - Office 207 23 47B St - Al Karama - Dubai - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Elqen%20Chartered%20Accountants&query_place_id=ChIJjcFbsOX7e6MRhwkXkFc1rI8
