internal_row_id,canonical_name,relevance_status,relevance_reason,google_category,regions,categories,address,city,phone,website,google_maps_url
uae-pilot-0234,Hastenway Shipping AL Karama,rejected_low_value_micro_business_or_individual,"Single-branch shipping agent (""AL Karama"" branch qualifier).",Logistics service,Dubai,Logistics service,"Office Land Building - 2nd Floor, 203 - Block 3 8 47 A Street - Al Karama - Dubai - United Arab Emirates",,+971 50 230 0979,http://www.hastenwayshipping.com/,https://www.google.com/maps/search/?api=1&query=Hastenway%20Shipping%20AL%20Karama&query_place_id=ChIJy0jWVNlCXz4REkcqPbJLp3A
uae-pilot-0081,AMIT Care Services LLC | Al Meena,rejected_low_value_micro_business_or_individual,"Category mismatch/unclear business type (Marine supply store), not confirmed as a genuine mid-size employer.",Marine supply store,Abu Dhabi,Marine supply store,Al Meena St - behind Capital Hotel - Tourist Club Area - E13 - Abu Dhabi - United Arab Emirates,,+971 2 673 3456,https://www.amitcare.com/,https://www.google.com/maps/search/?api=1&query=AMIT%20Care%20Services%20LLC%20%7C%20Al%20Meena&query_place_id=ChIJE9rpae1mXj4RKKwYVCC32Bs
uae-pilot-0241,"Homes r Us, Mina Center",rejected_low_value_micro_business_or_individual,"Furniture retail store, not a genuine target-sector employer.",Furniture store,Abu Dhabi,Furniture store,Mina Center - near Port Zayed - Al Mina - Freezone - Abu Dhabi - United Arab Emirates,,+971 2 671 7530,https://www.homesrus.ae/,https://www.google.com/maps/search/?api=1&query=Homes%20r%20Us%2C%20Mina%20Center&query_place_id=ChIJ5WpfXepmXj4RsQX3waqwxfg
uae-pilot-0175,Dr. Rohit Kumar,rejected_low_value_micro_business_or_individual,"Individual medical practitioner (a person, not a company).",Surgeon,Dubai,Surgeon,Port Rashid Road - Mankhool - Dubai - United Arab Emirates,,+971 55 196 5678,https://www.rohitkumar.com/,https://www.google.com/maps/search/?api=1&query=Dr.%20Rohit%20Kumar&query_place_id=ChIJb78vKeBDXz4RlXc1yN5N1aA
uae-pilot-0159,DESCO Print & Studio - Dry Docks(Al mina),rejected_low_value_micro_business_or_individual,Small single-branch print shop.,Print shop,Dubai,Print shop,D in Seven Pearls Complex - 29) Block - 115 Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,,+971 4 575 1039,https://descoonline.com/desco-printing-dry-docks,https://www.google.com/maps/search/?api=1&query=DESCO%20Print%20%26%20Studio%20-%20Dry%20Docks(Al%20mina)&query_place_id=ChIJscDOPABDXz4RxgmFhe7KSkA
uae-pilot-0417,Tally Prime Dubai - Hussain and Jujar Accounting Services,rejected_low_value_micro_business_or_individual,Small accounting-software reseller under an individual-sounding trade name.,Software company,Dubai,Software company,P114 Sheikha Maryam Building - Office 809 Floor 8th - Al Maktoum Rd - near Baniyas Metro Station - Deira - Dubai - United Arab Emirates,,+971 50 466 4895,https://tallysolution.ae/,https://www.google.com/maps/search/?api=1&query=Tally%20Prime%20Dubai%20-%20Hussain%20and%20Jujar%20Accounting%20Services&query_place_id=ChIJwwlXU0hDXz4R6k-E3EsnuNs
uae-pilot-0084,Anytime Dental,rejected_low_value_micro_business_or_individual,"Single dental clinic, individual-practitioner scale, not a genuine mid-size healthcare employer target.",Dental clinic,Dubai,Dental clinic,"Unit 835, Al Ghurair Centre - 8F - Al Muraqqabat - Deira - Dubai - United Arab Emirates",,+971 55 791 6602,https://www.anytimedental.ae/,https://www.google.com/maps/search/?api=1&query=Anytime%20Dental&query_place_id=ChIJhY4SraRdXz4Rsum5BCPX6J0
uae-pilot-0397,Slate Stone Interiors,no_official_source_found,Website domain (slateinteriorsme.com) 301-redirects to an unrelated site (jonkinnally.com) - no working official source.,Interior designer,Dubai,Interior designer,Dubai World Trade Centre - 1602 API World Tower - Sheikh Zayed Rd - Dubai - United Arab Emirates,,+971 50 107 2503,http://slateinteriorsme.com/,https://www.google.com/maps/search/?api=1&query=Slate%20Stone%20Interiors&query_place_id=ChIJBWIjHlhDXz4RWg0IftvkYwY
uae-pilot-0306,Modern Home Engineering consultant,no_official_source_found,"Only a social-media (Instagram) link was available, no official website - insufficient for verification.",Architecture firm;Engineering consultant;Carpet store,Abu Dhabi,Architecture firm;Engineering consultant;Carpet store,"MBZ- Mazyad mall, Tower 3, floor 3 of(304 - Abu Dhabi - United Arab Emirates",,+971 2 585 8440,https://instagram.com/modernhome_uae?igshid=rcy0y6xq3i1y,https://www.google.com/maps/search/?api=1&query=Modern%20Home%20Engineering%20consultant&query_place_id=ChIJgf0lEycxXj4R8LTF3EFGAI0
uae-pilot-0429,Ultra Care Medical Group,rejected_no_official_source_found,"Google Maps supplied only a business.google.com mini-site URL, which now returns HTTP 404 - no working official domain exists. Consistent with the weak-domain-tier flag this row already carried during triage scoring.",Healthcare,Dubai,Healthcare,,Dubai,,https://business.google.com/site/l/01466323194045965484,https://www.google.com/maps/search/?api=1&query=Ultra%20Care%20Medical%20Group&query_place_id=ChIJWZvtgUVDXz4RYfIuzzcZMaA
uae-pilot-0171,Dr AK Health Care Medical Center L.L.C,rejected_individual_practitioner,"Individual-practitioner name pattern (""Dr AK Health Care Medical Center"" - named after Dr. A.K.). One of the 4 hard-rejects identified during the original triage pass but not yet removed from the working pool - corrected here.",Medical Center,Dubai,Medical Center,AL Ghazal Mal - 34&35 Mezzanine floor - Al Wasl Rd - Al Bada' - Dubai - United Arab Emirates,Dubai,+971 4 575 6906,http://www.draneshk.com/,https://www.google.com/maps/search/?api=1&query=Dr%20AK%20Health%20Care%20Medical%20Center%20L.L.C&query_place_id=ChIJ04RwG9ZDXz4RvtXr-a3jKrU
uae-pilot-0174,Dr. Nima.Yeganeh,rejected_individual_practitioner,Individual-practitioner name pattern (a named doctor's personal clinic site). One of the 4 hard-rejects identified during the original triage pass but not yet removed from the working pool - corrected here.,Medical clinic,Dubai,Medical clinic,"International Modern Hospital, Port - Sheikh Rashid Rd - Mankhool - Area - Bur - Dubai - United Arab Emirates",Dubai,+971 4 406 3000,https://drnimayeganeh.com/,https://www.google.com/maps/search/?api=1&query=Dr.%20Nima.Yeganeh&query_place_id=ChIJG3oiB89DXz4R0udKLoU72LQ
uae-pilot-0172,Dr Layla Clinique,rejected_individual_practitioner,"Individual-practitioner name pattern (""Dr Layla Clinique"") - a personal practice, not a company.",Hospital,Dubai,Hospital,67QG+5H6 - 55 2C St - Al Hudaiba - Dubai - United Arab Emirates,Dubai,,,https://www.google.com/maps/search/?api=1&query=Dr%20Layla%20Clinique&query_place_id=ChIJz3HK-v1CXz4RQXpeajGbGXY
uae-pilot-0173,Dr. Mulham Polyclinic,rejected_individual_practitioner,"Individual-practitioner name pattern (""Dr. Mulham Polyclinic"") - a personal practice, not a company.",Medical Center,Dubai,Medical Center,Awards Building - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Dubai,+971 4 255 1710,,https://www.google.com/maps/search/?api=1&query=Dr.%20Mulham%20Polyclinic&query_place_id=ChIJz8-xt-RCXz4RJU2S9bRv-LQ
uae-pilot-0466,عيادة الدكتور ملهم,rejected_individual_practitioner,"Arabic-language duplicate listing of the same ""Dr. Mulham"" clinic (uae-pilot-0173) - both the English and Arabic Google Maps listings represent one individual practice, not two companies.",Hospital,Dubai,Hospital,Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Dubai,+971 4 255 1710,,https://www.google.com/maps/search/?api=1&query=%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9%20%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%20%D9%85%D9%84%D9%87%D9%85&query_place_id=ChIJL4dd6ABDXz4RyEQCFdefIG8
