boursa_name,normalized_name,ticker,sector,boursa_reference,official_domain,careers_ats_url,kuwait_presence,current_job_evidence,existing_canonical_id,dedup_result,employer_outcome,evidence_quality,notes
"Burgan Company for Well Drilling, Trading and Maintenance K.S.C. (Public)","Burgan Company for Well Drilling, Trading and Maintenance . (Public)",ABAR,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.burgandrilling.com,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
Al-Arabiya Real Estate Company K.S.C.P.,Al-Arabiya Real Estate Company .,ARABREC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.arec-kwt.com,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
Ajial Real Estate Entertainment Company K.S.C.P.,Ajial Real Estate Entertainment Company .,AREEC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,https://www.ajial-realestate.com,not_verified,"confirmed (Kuwait-listed, Kuwait-headquartered)",none confirmed this pass,n/a,new_employer_candidate,hold_manual_review,"medium (official domain confirmed, no careers page found)","Real Kuwait-listed company with a confirmed official domain, but no distinct careers page or job listing was found this pass -- held pending further verification."
Combined Group Contracting Company - K.S.C. (Public),Combined Group Contracting Company - . (Public),CGC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_verified,not_verified,confirmed (Kuwait-listed per third-party enumeration),none,n/a,new_employer_candidate,insufficient_evidence,low (no official domain independently confirmed this pass),"Real, Kuwait-listed company (confirmed via multiple third-party financial sources) but no official domain was confidently identified this pass -- genuine identity/verification gap, not a tooling artifact."
National Petroleum Services Company K.S.C.P.,National Petroleum Services Company .,NAPESCO,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_verified,not_verified,confirmed (Kuwait-listed per third-party enumeration),none,n/a,new_employer_candidate,insufficient_evidence,low (no official domain independently confirmed this pass),"Real, Kuwait-listed company (confirmed via multiple third-party financial sources) but no official domain was confidently identified this pass -- genuine identity/verification gap, not a tooling artifact."
Independent Petroleum Group K.S.C.P.,Independent Petroleum Group .,IPG,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_verified,not_verified,confirmed (Kuwait-listed per third-party enumeration),none,n/a,new_employer_candidate,insufficient_evidence,low (no official domain independently confirmed this pass),"Real, Kuwait-listed company (confirmed via multiple third-party financial sources) but no official domain was confidently identified this pass -- genuine identity/verification gap, not a tooling artifact."
Al Soor Fuel Marketing Company K.S.C.P.,Al Soor Fuel Marketing Company .,SOOR,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_verified,not_verified,confirmed (Kuwait-listed per third-party enumeration),none,n/a,new_employer_candidate,insufficient_evidence,low (no official domain independently confirmed this pass),"Real, Kuwait-listed company (confirmed via multiple third-party financial sources) but no official domain was confidently identified this pass -- genuine identity/verification gap, not a tooling artifact."
Advanced Technology Company K.S.C.P.,Advanced Technology Company .,ATC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_verified,not_verified,confirmed (Kuwait-listed per third-party enumeration),none,n/a,new_employer_candidate,insufficient_evidence,low (no official domain independently confirmed this pass),"Real, Kuwait-listed company (confirmed via multiple third-party financial sources) but no official domain was confidently identified this pass -- genuine identity/verification gap, not a tooling artifact."
Kuwait Portland Cement Co. K.P.S.C.,Kuwait Portland Cement Co. .,PCEM,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_verified,not_verified,confirmed (Kuwait-listed per third-party enumeration),none,n/a,new_employer_candidate,insufficient_evidence,low (no official domain independently confirmed this pass),"Real, Kuwait-listed company (confirmed via multiple third-party financial sources) but no official domain was confidently identified this pass -- genuine identity/verification gap, not a tooling artifact."
Action Energy Company K.S.C (Public),Action Energy Company  (Public),ALFTAQA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_verified,not_verified,confirmed (Kuwait-listed per third-party enumeration),none,n/a,new_employer_candidate,insufficient_evidence,low (no official domain independently confirmed this pass),"Real, Kuwait-listed company (confirmed via multiple third-party financial sources) but no official domain was confidently identified this pass -- genuine identity/verification gap, not a tooling artifact."
GFH Bank B.S.C.,GFH Bank B.S.C.,GFH,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,gfh.com,not_individually_confirmed_this_pass,"Kuwait-listed (1 of 4 exchanges); HQ Manama, Bahrain",none confirmed this pass,n/a,individually_verified_pass5,geo_ineligible,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Bahrain-headquartered and Bahrain-regulated; cross-listed on Boursa Kuwait but no confirmed Kuwait physical office/employer presence found this pass.
Kuwait Real Estate Company K.P.S.C.,Kuwait Real Estate Company .,KRE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,aqarat.com.kw,not_individually_confirmed_this_pass,confirmed HQ Kuwait City,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, long-established Kuwait real-estate operator; official domain confirmed. Careers page not individually verified this pass."
Makhazen,Makhazen,MKHZN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,makhazen.com,https://makhazen.com/en/makhazen-logistics-jobs-careers/,"confirmed, Kuwait-focused logistics infrastructure",none confirmed this pass,cc-makhazen,individually_verified_pass5,approve_unchanged,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): CONFIRMED official careers page (makhazen.com/en/makhazen-logistics-jobs-careers/). Very large logistics/infrastructure operator. Note: parent of MRC (ticker MRC, see below) and a 25% owner of the ALREADY-PRESENT Agility (cc-agility) -- documented relationship, not merged."
Commercial Real Estate Company K.P.S.C.,Commercial Real Estate Company .,ALTIJARIA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,altijaria.com,not_individually_confirmed_this_pass,confirmed HQ Kuwait,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, 160-employee Kuwait real-estate operator. IMPORTANT: distinct from the already-staged Commercial Bank of Kuwait (Al-Tijari, cc-commercial-bank-of-kuwait-al-tijari) despite similar 'Al-Tijaria/Al-Tijari' branding -- this is a real-estate company, the other is a bank. No canonical-ID collision risk since names/domains differ (altijaria.com vs the bank's altijaria.com -- WAIT: flagged for a closer look, see notes."
Al-Maidan Clinic for Oral Health Services Company K.S.C.P.,Al-Maidan Clinic for Oral Health Services Company .,MIDAN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,maidangroup.com,not_individually_confirmed_this_pass,"confirmed, dental clinics in Kuwait",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait dental-healthcare operator. Careers page not individually verified this pass.
First Takaful Insurance Company - KPSC,First Takaful Insurance Company -,FTI,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,firsttakaful.com.kw,not_individually_confirmed_this_pass,confirmed .com.kw domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait takaful insurer. Careers page not individually verified this pass.
Bahrain Kuwait Insurance Company B.S.C.,Bahrain Kuwait Insurance Company B.S.C.,BKIKWT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,not_confirmed_this_pass,not_individually_confirmed_this_pass,"plausible regional presence, not independently confirmed this pass",none confirmed this pass,n/a,individually_verified_pass5,insufficient_evidence,low (no domain found; genuine gap),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): No official domain could be confirmed via the stockanalysis.com company-profile method (404) and WebSearch budget was exhausted before a manual search could be attempted. Genuine evidence gap, not a tooling shortcut."
Injazzat Real Estate Development Company K.P.S.C.,Injazzat Real Estate Development Company .,INJAZZAT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,injazzat.com,not_individually_confirmed_this_pass,"confirmed .com domain, Kuwait-focused",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait real-estate investment firm. Careers page not individually verified this pass.
Kuwait Business Town Real Estate Company - KPSC,Kuwait Business Town Real Estate Company -,KBT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,kbt.com.kw,not_individually_confirmed_this_pass,confirmed .com.kw domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait real-estate operator. Careers page not individually verified this pass.
Umm Al Qaiwain General Investments Company P.S.C.,Umm Al Qaiwain General Investments Company P.S.C.,QIC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,qic-uaq.ae,not_individually_confirmed_this_pass,"NONE -- UAE-domiciled (.ae domain, 'Umm Al Qaiwain' in the legal name itself)",none confirmed this pass,n/a,individually_verified_pass5,geo_ineligible,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): This is a UAE company (Umm Al Qaiwain is a UAE emirate) cross-listed or dual-tracked on Boursa Kuwait's ticker system -- no Kuwait operations, office, or employer relevance found. Correctly excluded as a Kuwait job-discovery candidate."
KFIC Invest Company K.S.C. (Public),KFIC Invest Company . (Public),KFIC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,kfic-kw.com,not_individually_confirmed_this_pass,"confirmed .com.kw domain, 144 employees",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait financial-services firm with a substantial (144) confirmed headcount. Careers page not individually verified this pass.
The Kuwait Company for Process Plant Construction and Contracting K.S.C.P.,The Kuwait Company for Process Plant Construction and Contracting .,KCPC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,kcpc.com.kw,https://kcpc.com.kw/careers,"confirmed, 1,124 employees",none confirmed this pass,cc-kuwait-company-for-process-plant-construction-and-contractin,individually_verified_pass5,approve_unchanged,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): CONFIRMED official careers page (kcpc.com.kw/careers, with an Arabic version at /ar-careers) via direct fetch of the company's own site footer. Large (1,124-employee) real Kuwait EPC contractor."
Al-Enma'a Real Estate Company K.S.C.P.,Al-Enma'a Real Estate Company .,ALENMA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,enmaa.com,not_individually_confirmed_this_pass,"confirmed, 656 employees",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, substantial (656-employee) Kuwait real-estate/facilities operator. Careers page not individually verified this pass."
Marakez Real Estate Development Company (K.P.S.C),Marakez Real Estate Development Company (),MARAKEZ,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,marakezkw.com,not_individually_confirmed_this_pass,"confirmed .com domain, small (15-employee) operation",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real but small Kuwait real-estate operator (15 employees). Careers page not individually verified this pass.
Al Argan International Real Estate Company - K.S.C.P.,Al Argan International Real Estate Company - .,ARGAN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,alargan.com,not_individually_confirmed_this_pass,confirmed .com domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait real-estate/hospitality developer. Careers page not individually verified this pass.
Dar Al-Thuraya Real Estate Company K.S.C.P.,Dar Al-Thuraya Real Estate Company .,THURAYA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,daralthuraya.com,not_individually_confirmed_this_pass,confirmed .com domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait real-estate operator. Careers page not individually verified this pass.
Livestock Transport and Trading Company K.P.S.C.,Livestock Transport and Trading Company .,CATTL,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,almawashi.com.kw,not_individually_confirmed_this_pass,confirmed .com.kw domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait livestock/meat-processing operator with international operations. Careers page not individually verified this pass.
Inovest B.S.C.,Inovest B.S.C.,INOVEST,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,inovest.bh,not_individually_confirmed_this_pass,"NONE -- Bahrain-domiciled (.bh domain, ""in Bahrain"" explicitly stated in its own business description)",none confirmed this pass,n/a,individually_verified_pass5,geo_ineligible,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Bahrain-headquartered and Bahrain-regulated (inovest.bh); cross-listed on Boursa Kuwait but no confirmed Kuwait physical office or employer presence found this pass. Same treatment as GFH Bank (also Bahrain-HQ'd, cross-listed)."
Kuwait Foundry Company K.S.C.P.,Kuwait Foundry Company .,KFOUC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,kwfoundry.com,not_individually_confirmed_this_pass,"confirmed, 6,000 employees",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, very large (6,000-employee) Kuwait industrial manufacturer -- but a direct check of kwfoundry.com's own navigation found NO careers/jobs link this pass. Held rather than approved given the confirmed absence of a discoverable careers channel on the official site itself, despite the company's clear scale and reality."
Shuaiba Industrial Company K.P.S.C.,Shuaiba Industrial Company .,SHUAIBA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,sic-kwt.com,not_individually_confirmed_this_pass,confirmed .com domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait paper-packaging manufacturer. Careers page not individually verified this pass.
Kuwait Resorts Company K.P.S.C.,Kuwait Resorts Company .,MUNTAZAHAT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,muntazahat.com.kw,not_individually_confirmed_this_pass,confirmed .com.kw domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait hospitality/resorts operator. Careers page not individually verified this pass.
Aqar Real Estate Investments Company K.S.C. (Public),Aqar Real Estate Investments Company . (Public),AQAR,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,aqar.com.kw,not_individually_confirmed_this_pass,"confirmed, small (14-employee) operation",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real but small Kuwait real-estate/hospitality operator (14 employees). Careers page not individually verified this pass.
MENA Real Estate Company - KSCP,MENA Real Estate Company -,MENA,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,mena-realestate.com,not_individually_confirmed_this_pass,"confirmed, HQ Kuwait City, CEO named (Fawaz Adnan Rais)",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait real-estate developer. Careers page not individually verified this pass.
Metal and Recycling Company K.S.C. (Public),Metal and Recycling Company . (Public),MRC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,mrckw.com,https://www.mrckw.com/careers/,"confirmed, 2,090 employees",none confirmed this pass,cc-metal-and-recycling-company,individually_verified_pass5,approve_unchanged,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): CONFIRMED official careers page (mrckw.com/careers, confirmed via direct fetch of the site footer/nav, appears twice). Large (2,090-employee) Kuwait waste-management/recycling operator. PARENT/SUBSIDIARY NOTE: confirmed to be a subsidiary of Makhazen (MKHZN, also individually verified and approved this pass) -- kept as a separate row since it is independently listed on Boursa Kuwait with its own ticker, consistent with how other parent/subsidiary pairs are handled in this project."
Future Kid Entertainment and Real Estate Company K.P.S.C.,Future Kid Entertainment and Real Estate Company .,FUTUREKID,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,futurekid.com.kw,not_individually_confirmed_this_pass,confirmed .com.kw domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait entertainment/hospitality operator. Careers page not individually verified this pass.
Kuwait Hotels Company K.S.C.P.,Kuwait Hotels Company .,KHOT,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,khc.com.kw,not_individually_confirmed_this_pass,"confirmed .com.kw domain, Kuwait-HQ'd hotel group",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, multi-country Kuwait-HQ'd hotel operator with a notable 'manpower supply' business segment (potentially source-catalog relevant too). Careers page not individually verified this pass."
Gulf Franchising Holding Company - K.S.C. (Public),Gulf Franchising Holding Company - . (Public),GFC,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,gfc.com.kw,not_individually_confirmed_this_pass,Kuwait-listed and HQ'd but operations described as 'primarily serving the Kingdom of Saudi Arabia',none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, substantial (562-employee) company, Kuwait-listed/HQ'd, but its own business description states operations primarily serve Saudi Arabia -- Kuwait-specific hiring relevance genuinely unclear. Held pending clarification rather than assumed either way."
Wethaq Takaful Insurance Company K.S.C.P.,Wethaq Takaful Insurance Company .,WETHAQ,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,wethaq.com,not_individually_confirmed_this_pass,confirmed .com domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait takaful insurer. Careers page not individually verified this pass.
Dalqan Real Estate Company K.S.C. (Public),Dalqan Real Estate Company . (Public),DALQANRE,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,dalqanrealestate.com,not_individually_confirmed_this_pass,"confirmed, HQ Kuwait City",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait real-estate operator, subsidiary of Dalqan Holding Group Company K.S.C. Careers page not individually verified this pass."
Al-Masaken International for Real Estate Development Company - K.S.C. (Public),Al-Masaken International for Real Estate Development Company - . (Public),MASAKEN,see Boursa segmentation,stockanalysis.com/list/kuwait-stock-exchange,masakenint.com,not_individually_confirmed_this_pass,confirmed .com domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait/UK real-estate developer. Careers page not individually verified this pass.
Mezzan Holding Company K.S.C.P.,Mezzan Holding Company .,MEZZAN,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,mezzan.com,https://careers.mezzan.com/,confirmed HQ Kuwait,"Commercial Assistant role live on careers.mezzan.com (Dubai, UAE location; not Kuwait-specific)",cc-mezzan-holding-company,individually_verified_pass5,approve_unchanged,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): CONFIRMED official careers portal (careers.mezzan.com, a dedicated subdomain) with a live current job posting (Commercial Assistant, Dubai UAE, posted 2026-09-13). Kuwait-HQ'd major regional FMCG conglomerate -- the one visible live job happens to be UAE-based, but the careers channel itself is official, real, and actively used, satisfying the 'legitimate careers/application channel' bar even without a Kuwait-specific opening confirmed at this exact moment."
Kuwait Projects Company Holding K.S.C.P.,Kuwait Projects Company Holding .,KPROJ,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,kipco.com,https://kipco.com/career/,confirmed HQ Kuwait City,none confirmed this pass,cc-kuwait-projects-company-holding-kipco,individually_verified_pass5,approve_unchanged,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): CONFIRMED official careers page (kipco.com/career/, a 'Career' link confirmed present in the site's main navigation via direct fetch). One of the largest, most well-known Kuwait-founded conglomerates in the region (parent group of Gulf Insurance Group, United Real Estate Company -- both already staged/present -- and other subsidiaries). This directly demonstrates why name-pattern 'holding company = shell' classification was wrong for at least this entry."
Gulf Investment House - KPSC,Gulf Investment House -,GIH,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,gih.com.kw,not_individually_confirmed_this_pass,"confirmed .com.kw domain, HQ Kuwait City",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real Kuwait investment/financial-services firm with real-estate and manufacturing segments (not a pure passive fund). Careers page not individually verified this pass.
Arzan Financial Group for Financing and Investment - KPSC,Arzan Financial Group for Financing and Investment -,ARZAN,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,arzan.com.kw,not_individually_confirmed_this_pass,confirmed .com.kw domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, diversified Kuwait financial-services firm (not a pure passive investment fund -- includes consumer credit, debt collection, SME financing operations). Careers page not individually verified this pass."
Tamdeen Investment Company - KSCP,Tamdeen Investment Company -,TAMINV,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,tamdeen.com,not_individually_confirmed_this_pass,confirmed .com domain -- NOTE: same domain root as the already-staged Tamdeen Real Estate/Group (cc-tamdeen-real-estate-company),none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Shares the tamdeen.com domain with the already-staged Tamdeen Group/Real Estate row from the prior pass -- likely the same corporate group's investment-arm ticker rather than a fully independent company. Held rather than staged separately to avoid a possible duplicate; a human should confirm whether TAMINV is a distinct Boursa-listed legal entity within the Tamdeen group or effectively the same employer already staged.
Noor Financial Investment Company - KPSC,Noor Financial Investment Company -,NOOR,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,noorinvestment.com,not_individually_confirmed_this_pass,"confirmed, 31 employees",none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real but small (31-employee) diversified Kuwait investment/services firm. Careers page not individually verified this pass.
Valmore Holding S.A.E.,Valmore Holding S.A.E.,VALMORE,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,not_confirmed_this_pass,not_individually_confirmed_this_pass,unconfirmed,none confirmed this pass,n/a,individually_verified_pass5,insufficient_evidence,low (no domain found; genuine gap),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): stockanalysis.com company-profile fetch 404'd; the 'S.A.E.' suffix suggests Egyptian incorporation, raising a genuine question of whether this is even a Kuwait-relevant operating entity or a dormant/delisted cross-listing. WebSearch budget was exhausted before a manual search could resolve this. Genuine evidence gap."
International Financial Advisors Holding - KPSC,International Financial Advisors Holding -,IFA,Investment / Holding / Leasing / Financial Services,stockanalysis.com/list/kuwait-stock-exchange,ifakuwait.com,not_individually_confirmed_this_pass,confirmed ifakuwait.com domain,none confirmed this pass,n/a,individually_verified_pass5,hold_manual_review,medium (individually verified identity/domain/sector/Kuwait-presence via first-party or stockanalysis.com profile; careers page not individually fetched for most),"PASS 5 INDIVIDUAL VERIFICATION (2026-09-13): Real, highly diversified Kuwait investment-holding firm. NOTE: shares 'IFA' branding with the separately-verified and already-staged 'IFA Hotels and Resorts' (ticker IFAHR, ifahotelsresorts.com, staged in the prior pass) -- confirmed DIFFERENT domains and likely a related but distinct sister company within a broader 'IFA' group. Kept as its own row per the no-auto-merge rule; relationship flagged for human review."
