review_id,lead_number,raw_name,normalized_name,official_domain,blocker,evidence_urls,action_needed
KW-HOLD-036,85,Al-Futtaim,Al-Futtaim Group,https://www.alfuttaim.com,"RECLASSIFIED per recovery-pass rule: Al-Futtaim is a definitely-real, major UAE conglomerate with known Gulf-wide retail/automotive operations -- under-researched this pass (time constraint), not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Major UAE-based conglomerate with known Gulf-wide retail/automotive operations; Kuwait-specific presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Own careers page confirmed real but redirects to an external portal (afuturewithus.com) that could not be fetched this pass (connection reset). Third-party sources list 6 Kuwait roles -- not independently re-verified first-party.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-037,91,Meituan,Meituan,https://hr.meituan.com,"RECLASSIFIED: Meituan is a definitely-real, giant Chinese technology/delivery company -- not independently fetched this pass due to time constraints, not an identity gap. See #26 (Keeta) for the related unresolved brand-identity question. [RECOVERY PASS 2026-09-13] Not independently fetched this pass. Meituan's international delivery operations are branded 'Keeta' -- see the identity-conflict note under #26 (keeta.com resolves to an unrelated company). Meituan's own direct Kuwait presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Same resolution as #26 -- Meituan's international delivery brand is Keeta; see #26 for full evidence. Meituan has no separate direct Kuwait presence beyond the Keeta brand.",https://zhaopin.meituan.com/en/jobs?department=Keeta&city=Kuwait_KuwaitCity,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-038,93,Americana Restaurants,Americana Restaurants International plc,https://www.americanarestaurants.com,"IMPORTANT CROSS-REFERENCE FOUND this recovery pass: baseline kuwait.csv already contains cc-americana-group (""Americana Group (Kuwait Food Company)"", legal name ""Kuwait Food Company (Americana) K.S.C.P."", KSE-listed ticker FOOD.KW, founded 1964, operates KFC/Pizza Hut/Hardees/Costa/Krispy Kreme franchises in 13 countries). This is very likely the SAME corporate lineage as the post-2022-split ""Americana Restaurants International plc"" (#93) but this pass could not independently confirm whether the existing baseline row is now obsolete/renamed or still the correct current entity -- NOT merged without stronger confirmation, per the no-auto-combine rule. A human must resolve whether cc-americana-group should be updated/renamed to reflect the 2022 restructuring, or whether Americana Restaurants International plc is a genuinely distinct successor requiring its own row. Kept at hold_manual_review rather than duplicate_or_alias or a fresh approve, given this genuine uncertainty. RE-CHECKED this pass: still no working URL found for Americana Restaurants; company remains real and well-documented via public knowledge (2022 spin-off from Americana Foods) but no fresh direct-fetch evidence obtained. Domain guess (americanarestaurants.com) 404'd. Americana Restaurants is a real, large, publicly-listed MENA restaurant operator (post-2022 corporate split from Americana Foods, #30) with well-documented Kuwait-region operations -- strong real-world plausibility, but not independently confirmed via direct fetch this pass.

RECOVERY PASS 2 (2026-09-13): No new first-party careers evidence, but a significant new fact: Americana Restaurants' own official site states its corporate history as originating 'in Kuwait back in 1964' and being 'publicly traded on the Kuwait Stock Exchange' -- the SAME founding year and KSE-listing fact already used for the existing baseline row cc-americana-group. Makes it substantially MORE likely this is the same corporate lineage post-2022-restructuring. NOT merged automatically per the no-auto-combine rule -- flagged even more strongly for a human decision.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-039,99,Ecolab,Ecolab Inc.,https://www.ecolab.com,"jobs.ecolab.com fetch returned truncated content that could not be confirmed to show Kuwait-specific results. Already has a Qatar row (cc-ecolab-qatar); Kuwait presence plausible given global scale but not independently confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Explicit negative signal found: Glassdoor states 'No Jobs at Ecolab in Kuwait' currently. Not conclusive (aggregator coverage incomplete) but weakens the case for staging.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-040,102,ADES / Advanced Energy Systems,ADES International Holding (Advanced Energy Systems),http://investors.adihgroup.com,"Wikipedia URL guess for ADES International Holding 404'd. ADES is publicly known as a real, large Egypt/Saudi-listed drilling company; whether 'Advanced Energy Systems' is a genuine alternate name for the same entity was not confirmed without WebSearch -- not guessed.

RECOVERY PASS 2 (2026-09-13): Identity resolved -- 'Advanced Energy Systems' is confirmed as a genuine alternate/trading name for ADES (per its own social channels, e.g. '@adesdrilling' titled 'ADES - Advanced Energy Systems'). ADES explicitly states 'a strong presence in Kuwait' among its 9 operating geographies. No Kuwait-specific careers page or job posting independently confirmed this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-041,103,Mashreq,Mashreqbank psc,https://www.mashreq.com,"RECLASSIFIED per recovery-pass rule: Mashreqbank is a definitely-real, large UAE bank with known regional Gulf presence -- the specific /en/uae/careers/ URL guess 404'd, a wrong-path problem, not an identity problem. [RECOVERY PASS 2026-09-13] UAE careers URL guess 404'd this pass. Mashreq is a well-known UAE bank with regional Gulf presence; Kuwait-specific office/careers confirmation not obtained.

RECOVERY PASS 2 (2026-09-13): Own corporate description confirms 'growing retail presence in the region including Egypt, Qatar, Kuwait and Bahrain' (tier-1 market confirmation), but no Kuwait-specific careers URL or job posting confirmed.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-042,105,Abercrombie & Fitch Co.,Abercrombie & Fitch Co.,https://corporate.abercrombie.com,"CONFIRMED: corporate careers page lists only Columbus (Ohio, Global Home Office), London, Shanghai, Hong Kong, Bengaluru, and Switzerland as work locations -- no Gulf region or franchise-operations mention. No confirmed direct Kuwait employment relationship; if Kuwait stores exist, they are very likely run by a local franchise partner (possibly Apparel Group, #104, or another Gulf retail franchisee) whose specific identity was not confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Official brand domain hollisterco.com (same corporate family) confirms a real physical Hollister store at The Avenues, Al Rai, Kuwait via its own store locator. Upgrades the prior finding: A&F Co. group brands have confirmed physical Kuwait retail presence, even though the corporate careers portal doesn't list local Kuwait roles. The specific local franchise operator/employer of record remains unconfirmed.",https://corporate.abercrombie.com/careers,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-043,106,Hollister,Hollister Co.,https://www.hollisterco.com,"Hollister is a genuine Abercrombie & Fitch Co. brand (see #105) but was not independently researched this pass. Not treated as a simple alias of A&F Co. since a Kuwait Hollister store, if it exists, would likely be operated by a distinct local franchisee rather than A&F Co. directly -- kept as its own unresolved candidate rather than merged without evidence.

RECOVERY PASS 2 (2026-09-13): Official hollisterco.com store locator confirms a real physical store at The Avenues, Al Rai, Kuwait. Kept as its own row per the no-auto-merge rule; franchise operator/employer identity still unconfirmed.",https://www.hollisterco.com/shop/us/clothing-stores/KW/Kuwait/KW/31830,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-044,108,Classera,Classera,https://classera.com,"RECLASSIFIED per recovery-pass rule: Classera is a definitely-real, well-documented Saudi-founded education-technology company -- under-researched this pass (time constraint), not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Known as a Saudi-founded education-technology company; Kuwait-specific presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Own-site language describes 'expansion into Kuwait, Qatar, and the UAE' as a forward-looking regional-partnership strategy rather than a confirmed established local office.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-045,110,IPEKYOL Group,İpekyol,,"RECLASSIFIED: Ipekyol (IPEKYOL Group) is a definitely-real Turkish fashion retail brand with known Gulf franchise presence in the region -- no domain fetch was attempted this pass due to time constraints, not an identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Known as a Turkish fashion retail brand; Gulf/Kuwait franchise presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Confirmed real, operating physical stores in Kuwait (The Avenues Phase III; Khiran Mall) with a local phone number -- strong presence evidence. No dedicated careers page or Kuwait-specific job posting found; Gulf franchise retail brands are typically operated by a local franchisee whose specific employer identity was not established this pass.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
KW-HOLD-046,119,Aloula or related OCR variant,Aloula (unresolved -- possible match: Al Oula Steel Manufacturing Company),http://www.oulasteel.com,"Task explicitly says do not assume identity. 'Aloula Aviation' is a real, distinct Saudi airline already verified in the Saudi-market registry pass (cc-aloula-aviation) -- but this is the KUWAIT lead list, and no genuine Kuwait-relevant 'Aloula' or similarly-sounding entity was identified without WebSearch. NOT conflated with the Saudi entity (different market, no evidence of a Kuwait connection).

RECOVERY PASS 2 (2026-09-13): Fresh search found multiple distinct 'Aloula'/'Al Oula'-spelled entities across different countries (Saudi Tamweel Aloula, a US 'AlOula' real-estate firm) plus one genuinely Kuwait-based candidate: 'Al Oula Steel Manufacturing Company' (al-oula.net). Per the explicit task instruction not to assume identity, this is flagged as the most likely candidate but NOT auto-matched -- genuine identity uncertainty remains for human confirmation. Not conflated with the unrelated Saudi 'Aloula Aviation' entity from the separate Saudi-market pass.

PASS 3 (2026-09-13): Domain correction. The real official domain for the likely-match candidate is oulasteel.com (NOT al-oula.net, which was an incorrect guess last pass) -- confirmed via the company's own careers page (oulasteel.com/career), physical address (West Shuaiba Industrial Area, Fahaheel), and status as Kuwait's first and only steel plant since 2003. Still flagged as the most likely candidate for supplied lead #119 ('Aloula') but NOT auto-matched -- name similarity is suggestive, not confirmed identical.",,Re-verify with a working browser tool if/when available; confirm official Kuwait careers page and at least one traceable current opening before promotion.
