lead_number,normalized_name,official_domain,kuwait_presence_evidence_category,careers_or_ats_url,employer_outcome,evidence_urls,verification_date,notes
42,The Flex,https://theflex.global,,https://theflex.global,geo_ineligible,https://theflex.global/,2026-09-13,"CONFIRMED: official site lists current markets as London, Paris, Algiers, Constantine, Oran, and Lisbon, with Milan, Casablanca, Cairo, and Berlin marked 'Coming soon'. Kuwait is not listed among current or upcoming markets. This directly resolves the task's explicit remote-eligibility concern for this exact company -- the LinkedIn location label does not reflect any confirmed Kuwait eligibility."
43,International Turnkey Systems (ITS),https://its.ws,,https://its.ws,approve_unchanged,https://its.ws/careers/,2026-09-13,"CONFIRMED STRONG: headquartered at 'ITS Tower, Mubarak Al Kabeer Street, Kuwait City'; founded 1981 by Kuwait Finance House. Careers page confirmed live (search/filter framework present) though no specific job titles were extracted from the fetched excerpt -- still a genuine, verified Kuwait employer with a real official careers channel."
44,SSC HR Solutions,https://soshr.net,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch. Name suggests an HR/staffing firm -- both employer-role and source-role decisions unresolved. Restated later in the supplied list as item #129 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): Fresh search found the real 'SSC HR Solutions' (ssc-hr.com) operates only in Saudi Arabia, Egypt, and UAE -- NOT Kuwait. A genuinely Kuwait-based, similarly-named firm was found instead: 'SOS HR Solutions' (soshr.net, est. 1975). Likely an OCR/transcription mix-up between 'SSC' and 'SOS' -- flagged explicitly for human confirmation rather than silently substituted.

PASS 3 (2026-09-13): Strengthened. 'SOS HR Solutions' (soshr.net / soshrsolutions.com) confirmed with CURRENT open vacancies (HR Specialist, HR Officer, Technical Sales) and a direct contact channel (techkwt@soshr.net). Since 1975. Very high confidence this is the entity meant by supplied lead #44 'SSC HR Solutions' (single-letter transposition, identical business type, only Kuwait-based match found) -- still NOT auto-substituted per the no-guessing rule; flagged for final human sign-off rather than staged under a name that doesn't match what was supplied."
45,Agthia Group,https://www.agthia.com,,https://careers.agthia.com,hold_manual_review,,2026-09-13,"RECLASSIFIED per recovery-pass rule: Agthia Group is a definitely-real UAE-based F&B/consumer-goods conglomerate -- under-researched this pass (time constraint), not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Real UAE-based F&B/consumer-goods conglomerate; Kuwait presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Own-site confirms Kuwait as one of Agthia's markets and Indeed shows Kuwait City culinary-role listings, but careers.agthia.com did not render a Kuwait-filtered live listing this pass."
46,"KBR, Inc.",https://www.kbr.com,,https://careers.kbr.com/us/en,hold_manual_review,,2026-09-13,"RECLASSIFIED: KBR is a definitely-real global engineering/government-services contractor (already has a verified Qatar row, cc-kbr) -- careers page returned HTTP 403, a bot-block technical problem, not an identity problem. Same conservative cross-market-id-reuse caution as the Saudi pass applies if evidence is later found. [RECOVERY PASS 2026-09-13] careers page returned HTTP 403 this pass. KBR already has a Qatar row (cc-kbr) and was held (not promoted) in the Saudi pass for lacking first-party Kuwait/Saudi evidence when reusing a cross-market id -- same conservative treatment applies here: no first-party Kuwait evidence obtained, do not assume.

RECOVERY PASS 2 (2026-09-13): careers.kbr.com Kuwait-keyword search returned no results this pass. Aggregators mention 17 Kuwait-area positions including Al-Jahra -- not first-party confirmed. Same conservative cross-market-id-reuse caution as the Saudi pass applies."
47,Libertex Group,https://libertex.com,,https://libertex.com/careers,hold_manual_review,,2026-09-13,"RE-CHECKED this pass: both libertex.com/careers and libertex.org/careers returned HTTP 403 on independent attempts. Kuwait remote-eligibility remains unconfirmed either way -- do not assume eligibility from a LinkedIn label. careers page returned HTTP 403 this pass. Task explicitly flags this as a remote-eligibility case requiring careful verification (Section 9) -- Kuwait remote-eligibility could not be confirmed or denied this pass; do not assume eligibility from a LinkedIn location label alone.

RECOVERY PASS 2 (2026-09-13): Fresh search confirmed Libertex offers remote roles globally (HQ Limassol, Cyprus, 110+ countries) but found no explicit statement of Kuwait-resident eligibility. Per task rule, a LinkedIn location label alone is insufficient; genuinely unresolved, not assumed either way."
48,unresolved -- relationship to Libertex Group (#47) not confirmed,,,,insufficient_evidence,,2026-09-13,"Could not independently confirm whether this is a genuine distinct entity, an OCR misread of Libertex Group, or a related-but-separate brand, per the task's explicit instruction not to assume. Not merged with #47 without evidence.

RECOVERY PASS 2 (2026-09-13): No new evidence found this pass distinguishing this from #47 (Libertex Group). Genuine identity gap persists."
49,Turbo Pay,,,,insufficient_evidence,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Fresh search of the Kuwait fintech/payment-gateway space found no matching 'Turbo Pay' entity (only an unrelated Philippines-based 'TurboPay'). Genuine identity gap.

PASS 3 (2026-09-13): Fresh variant search (English + Arabic 'توربو باي الكويت') found multiple real global 'TurboPay' products (Egypt/Vodafone-linked app, Philippines payment gateway, a blockchain messaging app) but none Kuwait-specific. Genuine identity gap persists."
50,JW Marriott Kuwait City,https://careers.marriott.com,,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,approve_unchanged,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,2026-09-13,"RECLASSIFIED: JW Marriott is a real, well-known hotel brand under definitely-real parent Marriott International; only the SPECIFIC Kuwait City property could not be independently confirmed this pass (403 block), a technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] Marriott property-search page returned HTTP 403 this pass. Flagged for the Marriott Kuwait group/property reconciliation (see #114, #122, #13, #80).

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Marriott ATS, country=Kuwait filter -- 9 live open positions at 'JW Marriott Hotel Kuwait City'."
51,SV7 Advisory,https://sv-7.com,,https://sv-7.com/,approve_unchanged,https://sv-7.com/,2026-09-13,"Name too ambiguous/short to confidently identify or domain-guess without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. SV7 Advisory is a real Gulf-based holding/advisory company headquartered in Kuwait City, with portfolio assets and strategic advisory mandates across ten sectors and operations spanning the Gulf, Europe, and North America. Resolves the prior 'name too short to identify' gap. No specific careers page/job posting independently confirmed this pass."
52,Almarai Company,https://www.almarai.com,,https://www.almarai.com,hold_manual_review,,2026-09-13,"careers URL guess 404'd this pass. Almarai already has a Saudi row (cc-almarai) and is a major Gulf-wide dairy/FMCG distributor with plausible Kuwait distribution/office presence, but not independently confirmed this pass.

RECOVERY PASS 2 (2026-09-13): Guessed careers URL 404'd again this pass. Third-party sources mention Kuwait store-helper roles; not first-party confirmed."
53,Etoile Group,https://www.etoilegroup.com,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain etoilegroup.com, established 1983; Kuwait City store renovated/relaunched April 2024; Chanel boutique in Kuwait reopened. No careers page or Kuwait-specific job posting found this pass."
54,unresolved,,,,insufficient_evidence,,2026-09-13,"Identity explicitly ambiguous per task instruction (could be a restaurant/retail brand or something else). No confident real-entity match found without WebSearch. Not guessed.

RECOVERY PASS 2 (2026-09-13): Fresh search found MULTIPLE distinct real 'Maison'-branded retail entities operating in Kuwait (Maison Chic, MaisonO, Maison Q8, Maison de Parfum) -- confirming the task's own flagged ambiguity rather than resolving it. Kept insufficient_evidence since no single entity can be confidently identified as the one meant."
55,AL-Muhalhel Co.,https://www.almuhalhel.com,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain almuhalhel.com; interior fit-out/construction company since 1999, located in Al Asimah, Kuwait. No careers page or job posting independently confirmed this pass."
56,talabat,cc-talabat,,cc-talabat,already_present,,2026-09-13,"CORRECTION (methodology defect found and fixed during recovery pass): this pass's original dedup check only matched exact normalized strings and missed that baseline kuwait.csv already contains ""Talabat Kuwait"" (cc-talabat, review_status=verified, careers_page_status=careers_page_found, current_open_jobs_detected=true). The fresh evidence gathered this pass (live Salmiya job posting, multi-city coverage) is genuinely valuable and CORROBORATES/STRENGTHENS the existing verified row, but this is not a new company to stage -- reclassified from the incorrectly-staged approve_unchanged to already_present. CONFIRMED STRONG via fresh direct fetch: talabat.com/kuwait explicitly lists multiple Kuwait cities served (Ahmadi, Hawally, Al Jahra, Farwaniya, Mubarak Al-kabir, Kuwait City); careers.deliveryhero.com/talabat shows a LIVE Kuwait job (Sr. Specialist Real Estate & Construction, Salmiya, Kuwait). Already has verified Qatar and UAE rows (cc-talabat) -- reusing the same market-neutral canonical_company_id for Kuwait. [RECOVERY PASS 2026-09-13] Not independently fetched this pass. talabat is publicly well-known to have been founded in Kuwait in 2004 before expanding regionally, and already has Qatar (cc-talabat) and UAE (cc-talabat) rows -- extremely strong prior plausibility of genuine, continuing Kuwait presence, but per the no-fabrication rule this pass did not independently re-confirm a live official careers page/ATS with a direct fetch, so held rather than approved outright."
57,SimplitIN,https://simplit.me,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Confirmed real via official domain simplit.me; only Odoo Gold Partner in Kuwait (ERP/CRM/POS consultancy), HQ in Sharq, Kuwait. No careers page or job posting independently confirmed this pass."
58,"Fortinet, Inc.",https://www.fortinet.com,,https://www.fortinet.com/corporate/careers,hold_manual_review,,2026-09-13,"RECLASSIFIED per recovery-pass rule: Fortinet is a definitely-real, large global cybersecurity company with known Gulf regional presence -- no domain was even attempted this pass (time constraint), so this is an under-researched real entity, not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Real global cybersecurity company with known Gulf regional presence; Kuwait-specific office not confirmed.

RECOVERY PASS 2 (2026-09-13): Search snippet mentions a Major Account Manager role open to candidates 'based in Kuwait, Bahrain, and UAE' -- but the guessed official careers-search URL 404'd, so not independently re-verified first-party."
59,Grand Hyatt Kuwait,https://www.hyatt.com,,https://careers.hyatt.com/en-us/careers/search,approve_unchanged,https://careers.hyatt.com/en-us/careers/search;https://newsroom.hyatt.com/news-releases?item=124287,2026-09-13,"RECLASSIFIED: Hyatt is a real, well-known hotel brand; the specific Grand Hyatt Kuwait property could not be independently confirmed this pass (hyatt.com destinations page returned 403), a technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] hyatt.com Kuwait destinations page returned HTTP 403 this pass. Flagged for the Hyatt Kuwait group/property reconciliation (see #90, #121).

RECOVERY PASS 2 (2026-09-13): Correct official ATS URL identified (careers.hyatt.com/en-us/careers/search) but HTTP 403 on direct fetch this pass (bot-block persists).

PASS 3 (2026-09-13): RESOLVED. Browser unavailable; used official press-release fallback per instructions. Hyatt's own newsroom (newsroom.hyatt.com, first-party) confirms Grand Hyatt Kuwait's official opening (2022-09-16, 302 rooms, 360 Mall) -- also corroborated by Business Wire. careers.hyatt.com/en-us/careers/search remains the correct official ATS (still 403-blocked to direct fetch, a technical limitation, not identity doubt)."
60,Taiba Hospital,https://www.taibahospital.com,,https://www.taibahospital.com/,approve_unchanged,https://www.taibahospital.com/,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Official domain confirmed (corrects the prior .com.kw guess). Real private hospital since 2002/2006, Sabah Al-Salem / Mubarak Al-Kabeer Governorate. 7 current job openings referenced via GulfTalent/Neelim summaries."
61,Foodics,https://www.foodics.com,,https://www.foodics.com,approve_unchanged,https://www.foodics.com/careers,2026-09-13,"CONFIRMED: careers/contact page displays a dedicated Kuwait phone number (22086665) alongside other regional office numbers, confirming a genuine Kuwait office presence. Already has a verified Saudi row (cc-foodics) -- reuse the existing market-neutral canonical_company_id for a Kuwait row, per repository convention, flagged for human confirmation of the exact id-reuse decision."
62,Sephora,https://www.sephora.com,,https://jobs.sephora.com/MiddleEast/job/Kuwait/846032755/,approve_unchanged,https://jobs.sephora.com/MiddleEast/job/Kuwait/846032755/,2026-09-13,"RECLASSIFIED per recovery-pass rule: Sephora is a definitely-real global beauty retailer with Gulf stores -- the ME careers page returned HTTP 403 (bot-block), a technical access problem, not an identity problem. [RECOVERY PASS 2026-09-13] Middle East careers page returned HTTP 403 this pass. Real global beauty retailer with Gulf regional stores; Kuwait-specific store/employer confirmation not obtained.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Sephora ATS -- a direct job-detail URL with 'Kuwait' in the path itself, for a Beauty Consultant role. Resolves the prior HTTP 403 on the general ME careers page."
63,Snoonu,https://snoonu.com,,https://snoonu.com/careers,hold_manual_review,https://entarabi.com/en/2026/05/snoonu-announces-its-official-expansion-into-kuwait/,2026-09-13,"RECLASSIFIED: Snoonu is a definitely-real company (already has a verified Qatar row, cc-snoonu) -- careers page returned HTTP 403, a bot-block technical problem. Kuwait expansion plausibility unconfirmed either way. [RECOVERY PASS 2026-09-13] careers page returned HTTP 403 this pass. Snoonu already has a Qatar row (cc-snoonu) and is primarily a Qatar-focused delivery/super-app company; no evidence of Kuwait expansion found.

RECOVERY PASS 2 (2026-09-13): snoonu.com/careers returned HTTP 403 again (persistent bot-block), but found strong independent corroboration via entarabi.com (regional business news): Snoonu officially launched Kuwait operations 2026-04-30, hiring ~180 local employees, named CEO of Kuwait operations (Bader Al-Ajeel). Substantially stronger evidence than the prior pass; held rather than approved only for lack of a first-party careers/ATS URL.

PASS 3 (2026-09-13): Re-attempted; snoonu.com/careers still HTTP 403 (persistent bot-block). No Kuwait-specific breakdown found on aggregator career pages (Qureos shows '48 positions, remote or on-site' Qatar-wide, not Kuwait-specific). The 2026-04-30 Kuwait market-entry press release (Zawya, entarabi) remains strong presence evidence, but does not itself constitute an official careers/ATS confirmation -- kept hold pending a working fetch of the official careers page."
64,ABYAT,https://www.abyat.com/kw/en/,,https://jobs.abyat.com/,approve_unchanged,https://jobs.abyat.com/;https://www.abyat.com/kw/en/about,2026-09-13,"RECLASSIFIED per recovery-pass rule: ABYAT is a definitely-real Gulf-region home-improvement/hardware retail chain -- under-researched this pass (time constraint), not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Known as a Gulf-region home-improvement/hardware retail chain; Kuwait-specific confirmation not obtained.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. ABYAT is a Kuwait-founded company (2005, first showroom 2008 in Kuwait); official ATS (jobs.abyat.com) shows active job categories. Kuwait is ABYAT's founding/home market."
65,Al Mashaan General Trading & General Contracting for Buildings Co.,https://www.almgtc.com,,https://www.almgtc.com/,approve_unchanged,https://www.almgtc.com/about-us,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Founded 1997, ISO 9001:2015 certified, physical HQ in Al Rai Industrial Area (opened 2022), Kuwait. Careers page not independently confirmed this pass; staged on strength of confirmed identity/domain/physical HQ."
66,Hitachi Energy Ltd.,https://www.hitachienergy.com,,https://careers.hitachi.com/search/jobs/in/country/kuwait,approve_unchanged,https://www.hitachienergy.com/careers;https://careers.hitachi.com/search/jobs/in/country/kuwait,2026-09-13,"Careers page confirmed real; Kuwait appears only as a generic region/language-selector option, with no specific office location or job listing independently confirmed. Real global industrial-power company with plausible Gulf presence.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Hitachi careers portal's direct country-filtered Kuwait URL -- 3 live Kuwait job openings (Electrical Site Manager, Testing & Commissioning Engineer, Project Manager, Field Service Engineer, Warehouse Supervisor, Sales Manager, engineering interns referenced across listings)."
67,American International University | Kuwait,https://www.aiu.edu.kw,,https://www.aiu.edu.kw,approve_unchanged,https://www.aiu.edu.kw/,2026-09-13,"CONFIRMED: real institution, official domain aiu.edu.kw, with explicit careers-section links found ('Jobs at AIU' at /about/jobs-at-aiu, 'Internships at AIU', and a Human Resources page). Distinct from Australian University Kuwait (#82, similarly-named but different institution)."
68,Sanad Education,https://sanadeducation.co,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Likely match found: 'Sanad Edu' (sanadeducation.co), a Kuwait-based study-abroad education consultancy. Reasonably close but not identical name match ('Sanad Edu' vs 'Sanad Education') -- flagged for human confirmation rather than auto-matched. No careers page confirmed."
69,Amalfi Foods,https://amalfifoods.com,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Real company confirmed, official domain amalfifoods.com, but headquartered in Bahrain, not Kuwait; sells/distributes into Kuwait among many regional markets. Market presence confirmed, but no confirmed local Kuwait office or direct employer relationship."
70,AMICO Group,https://www.amicogroup.com,,https://www.amicogroup.com/careers,hold_manual_review,,2026-09-13,"RE-CHECKED this pass: the guessed domain amico-group.com redirects to a domain-resale/parking page (ezdomaindeals.com) -- CONFIRMED this is NOT AMICO Group's real domain. A Wikipedia page search for ""AMICO Group"" also 404'd (no article at that exact title). AMICO's real official domain remains unidentified without WebSearch. No domain fetch attempted this pass. AMICO is publicly known as a Kuwait-founded pharmaceutical/healthcare-distribution group with regional operations -- plausible strong real-world Kuwait presence, but not independently confirmed via direct fetch this pass.

RECOVERY PASS 2 (2026-09-13): Correct official domain identified: amicogroup.com (NOT amico-group.com, a confirmed parked/resale domain). Direct fetch of amicogroup.com/careers hit an HTTP 307 redirect my tool could not follow. Search confirmed 'AMICO Group in Kuwait has announced job vacancies for positions such as Regulatory Affairs Agent and Sales Representative.' AMICO is a Kuwait-founded (1984) medical-device/pharma distribution group -- Kuwait presence essentially certain, but the specific careers fetch remains a technical gap."
71,Jeppesen / ForeFlight (Boeing subsidiaries),https://jobs.boeing.com,,,hold_manual_review,,2026-09-13,"RECLASSIFIED: Jeppesen and ForeFlight are definitely-real Boeing-owned aviation software/data companies -- no domain fetch was attempted this pass due to time constraints, not an identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Both are real Boeing-owned aviation software/data companies; Kuwait-specific presence not confirmed.

RECOVERY PASS 2 (2026-09-13): No Kuwait-specific evidence found; Boeing's careers portal lists Jeppesen roles only in Abu Dhabi, Centennial (CO), and San Jose (CA)."
72,United Steel Industrial Co.,https://www.kwtsteel.com,,https://www.kwtsteel.com/,approve_unchanged,https://www.kwtsteel.com/about,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Private Kuwaiti Closed Shareholding Industrial Company since 1996 (Kuwait Steel), Sharq plant confirmed via Global Energy Monitor, UN Global Compact participant. Careers page not independently confirmed this pass; staged on strength of confirmed identity/domain/physical presence/industrial scale."
73,Four Seasons Hotel Kuwait at Burj Alshaya,https://www.fourseasons.com,,https://careers.fourseasons.com/us/en/search-results?keywords=Kuwait,approve_unchanged,https://careers.fourseasons.com/us/en/search-results?keywords=Kuwait,2026-09-13,"fourseasons.com/kuwait/ returned HTTP 403 this pass. Four Seasons Kuwait (at Burj Alshaya) is a well-known, real property; needs a direct careers-page re-check before staging.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Four Seasons careers domain -- 6 live Kuwait/Burj Alshaya positions (Spa Attendant, Arabic-speaking Reservations & Communications Agent, Chef de Partie Lebanese cuisine), confirmed via search-engine-cached page content (direct WebFetch loaded the page shell but did not render JS-populated results). Property independently confirmed real via press.fourseasons.com executive-team page in the original pass."
74,PingWind,,,,insufficient_evidence,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Fresh search confirmed PingWind is a real company, but it is a US-based (Annandale, Virginia) SDVOSB IT/cybersecurity firm with no discoverable Kuwait connection whatsoever. Genuine no-Kuwait-relevance finding."
75,unresolved -- exact entity name not verified,,,,insufficient_evidence,,2026-09-13,"Task explicitly asks whether this exact entity name is correct; could not verify without WebSearch. Not guessed.

RECOVERY PASS 2 (2026-09-13): Fresh search found a real company literally named 'TrendAI' (trendaisecurity.com, AI-powered cybersecurity) with a social post tagged '#saudiarabia' -- suggesting Saudi, not Kuwait, association. No Kuwait-specific evidence found. Genuine identity/relevance gap persists."
76,Libera Consultants,https://www.liberaconsultants.com,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch. Likely a consulting/recruitment-adjacent firm -- both employer-role and source-role decisions unresolved. Restated later in the supplied list as item #130 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): Confirmed real: an oil & gas executive-search/recruitment firm established 2022, headquartered in Dubai, UAE, covering 'across the Middle East region.' No Kuwait-specific office confirmed."
77,SRVME,https://www.srvme.com,,https://www.srvme.com,approve_unchanged,https://www.srvme.com,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Kuwait-headquartered home-services marketplace app (plumbing, electrical, cleaning), founded 2018, physical Kuwait address (Sharq, Ahmad Aljaber St, KREIC Building)."
78,Penspen Ltd.,https://www.penspen.com,,https://careers.penspen.com/vacancies.html,approve_unchanged,https://www.penspen.com/regions/east-region/,2026-09-13,"RECLASSIFIED: Penspen is a definitely-real UK-based oil & gas engineering consultancy with known Gulf operations -- no domain fetch was attempted this pass due to time constraints, not an identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Real UK-based oil & gas engineering consultancy with known Gulf operations; Kuwait-specific presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Official domain and vacancies portal confirmed real and reachable; the vacancies page lists 'Kuwait' as a location filter option, but the underlying dynamic job-listing content did not render in this pass's fetch.

PASS 3 (2026-09-13): RESOLVED. Penspen's own official website (penspen.com/regions/east-region/, first-party) explicitly states 'Penspen has project offices strategically positioned in Kuwait' supporting client project sites 'across Qatar, Iraq, and Kuwait.' Official vacancies portal (careers.penspen.com/vacancies.html) already confirmed real with a Kuwait location filter. No specific live Kuwait job independently confirmed, but tier-1 official-website presence confirmation is sufficient per the evidence-priority rules."
79,The Flex,,,,geo_ineligible,,2026-09-13,"Task explicitly flags this as a remote-role case needing careful Kuwait-eligibility verification (Section 9). No confident real-entity match or Kuwait-eligibility evidence found without WebSearch.

RECOVERY PASS 2 (2026-09-13): Fresh search for 'The Flex' Kuwait remote hiring found no evidence confirming Kuwait-resident eligibility, and no evidence overturning the original pass's direct confirmation that Kuwait is absent from The Flex's current and coming-soon markets. Reclassified from insufficient_evidence to geo_ineligible per explicit task instruction (Section 5)."
80,Marriott Executive Apartments Kuwait City,https://careers.marriott.com,,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,approve_unchanged,https://careers.marriott.com/jobs?filter%5Bcountry%5D%5B0%5D=Kuwait,2026-09-13,"RECLASSIFIED: Marriott Executive Apartments is a real, well-known hotel brand under definitely-real parent Marriott International; only the SPECIFIC Kuwait City property could not be independently confirmed this pass (403 block), a technical problem, not an identity problem. [RECOVERY PASS 2026-09-13] Marriott property-search page returned HTTP 403 this pass. Flagged for the Marriott Kuwait group/property reconciliation (see #114, #122, #13, #50).

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Marriott ATS, country=Kuwait filter -- 5 live open positions at 'Marriott Executive Apartments Kuwait City'."
81,National Bank of Kuwait (NBK),https://www.nbk.com,,https://www.nbk.com,already_present,https://careers.nbk.com/,2026-09-13,Exact match to existing verified Kuwait row cc-national-bank-of-kuwait in master-company-registry.csv.
82,Australian University Kuwait,https://www.au.edu.kw,,https://careers.au.edu.kw/,approve_unchanged,https://careers.au.edu.kw/;https://wuzzuf.net/jobs/p/0KwoakBwAVnZ-Assistant-Manager--Alumni-and-Career-Placement-The-Australian-University-AU-Kuwait-City-Kuwait,2026-09-13,"RECLASSIFIED: Australian University Kuwait (AU) is a definitely-real, accredited Kuwait institution -- the guessed domain (aui.edu.kw) failed DNS resolution, a wrong-domain-guess problem, not an identity problem. Distinct from American International University Kuwait (#67, aiu.edu.kw). [RECOVERY PASS 2026-09-13] Domain guess (aui.edu.kw) failed to resolve (DNS failure). Distinct institution from American International University Kuwait (#67, aiu.edu.kw) -- similarly-named but different; not conflated.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Correct official domain identified: au.edu.kw (NOT aui.edu.kw, the DNS-failing guess from the prior pass). Official careers portal exists; a real job posting ('Assistant Manager - Alumni and Career Placement') independently corroborated via Wuzzuf. Real, accredited Kuwait institution (est. 2004 as Australian College of Kuwait)."
83,Worley Limited,https://www.worley.com,,https://www.worley.com/en/about-us/where-we-operate/kuwait,approve_unchanged,https://worley.com/en/careers;https://www.worley.com/en/about-us/where-we-operate/kuwait,2026-09-13,"Careers page confirms Worley operates in 'over 40 countries' and lists Kuwait as an option in a contact-form country dropdown, but no specific Kuwait office or job listing was independently confirmed. Real global engineering/EPC company.

RECOVERY PASS 2 (2026-09-13): CONFIRMED via official Worley 'Where we operate' page directly confirming a Kuwait presence. 23 named Kuwait roles referenced (Construction Supervisor, Lead Contracts Administrator, Site Engineer, Project Manager - Construction, Senior Manager Project Controls, Planning Engineer, Environmentalist), located in Ahmadi, Kuwait."
84,Numerica Financial Advisory,https://www.numericaadvisory.com,,,hold_manual_review,,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): Fresh search found only an unrelated US credit union ('Numerica Credit Union', Washington state). No matching Kuwait financial-advisory entity found. Genuine identity gap.

PASS 3 (2026-09-13): RESOLVED IDENTITY. Fresh search found the exact matching entity via its official LinkedIn organization page ('Numerica Financial Advisory') and official domain (numericaadvisory.com). Direct fetch confirmed Kuwait phone numbers (+965 96666002, +965 99211653) on the official site -- Kuwait presence confirmed. No careers/jobs page found in the site navigation (Our Clients, About Us, Our Services, Our Team, Blog, Contact Us only) -- held rather than approved for lack of any careers/hiring evidence."
85,Al-Futtaim Group,https://www.alfuttaim.com,,https://afuturewithus.com/,hold_manual_review,,2026-09-13,"RECLASSIFIED per recovery-pass rule: Al-Futtaim is a definitely-real, major UAE conglomerate with known Gulf-wide retail/automotive operations -- under-researched this pass (time constraint), not a genuine identity gap. [RECOVERY PASS 2026-09-13] No domain fetch attempted this pass. Major UAE-based conglomerate with known Gulf-wide retail/automotive operations; Kuwait-specific presence not confirmed.

RECOVERY PASS 2 (2026-09-13): Own careers page confirmed real but redirects to an external portal (afuturewithus.com) that could not be fetched this pass (connection reset). Third-party sources list 6 Kuwait roles -- not independently re-verified first-party."
86,Bureau Veritas SA,https://group.bureauveritas.com,,https://careers.bureauveritas.com/,approve_unchanged,https://careers.bureauveritas.com/,2026-09-13,"RECLASSIFIED: Bureau Veritas is a definitely-real global testing/inspection/certification company operating in 140+ countries -- the careers redirect target was not independently re-fetched, a follow-through gap, not an identity problem. [RECOVERY PASS 2026-09-13] bureauveritas.com/careers redirected to group.bureauveritas.com/careers, which was not independently re-fetched this pass. Real global testing/inspection/certification company; Kuwait presence not confirmed.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. A specific Kuwait job was found: 'Jr. Engineer - Risk & Safety' in Al Shuwaikh, Kuwait -- supporting environmental/safety assessment and technical reporting."
87,SpaStaff.com,https://www.spastaff.com,,https://www.spastaff.com,insufficient_evidence,https://www.spastaff.com/,2026-09-13,"CONFIRMED: real self-service recruitment marketplace connecting spa/wellness professionals with employers (170,000+ professional database). Covers Oman, UAE, Qatar, Saudi Arabia, Bahrain -- but Kuwait is NOT mentioned as a covered market. Not an employer itself; as a source it does not appear to cover Kuwait. Restated later in the supplied list as item #128 -- same entity, tracked via duplicate_or_alias there.

RECOVERY PASS 2 (2026-09-13): See kuwait-source-research.csv for the corrected SOURCE-role finding (Kuwait coverage now confirmed). As an EMPLOYER, SpaStaff.com remains not applicable -- it is a recruitment marketplace, not a direct Kuwait employer."
88,Ali Abdulwahab Al Mutawa Commercial Co.,https://aaw.com,,https://aaw.com/,approve_unchanged,https://aaw.com/,2026-09-13,"No confident official domain identified without WebSearch.

RECOVERY PASS 2 (2026-09-13): CONFIRMED. Century-old Kuwait retail/distribution conglomerate (Ali Abdulwahab Al Mutawa Commercial Co. / AAW), 9 divisions, 100+ represented brands, HQ Kuwait City/Safat."
