lead_number,raw_supplied_name,likely_entity_type,employer_outcome,source_outcome,evidence_urls,unresolved_issue
105,Abercrombie & Fitch Co.,employer_candidate,hold_manual_review,na,https://corporate.abercrombie.com/careers,"RECOVERY PASS 2 (2026-09-13): Official brand domain hollisterco.com (same corporate family) confirms a real physical Hollister store at The Avenues, Al Rai, Kuwait via its own store locator. Upgrades the prior finding: A&F Co. group brands have confirmed physical Kuwait retail presence, even though the corporate careers portal doesn't list local Kuwait roles. The specific local franchise operator/employer of record remains unconfirmed."
106,Hollister,employer_candidate,hold_manual_review,na,https://www.hollisterco.com/shop/us/clothing-stores/KW/Kuwait/KW/31830,"RECOVERY PASS 2 (2026-09-13): Official hollisterco.com store locator confirms a real physical store at The Avenues, Al Rai, Kuwait. Kept as its own row per the no-auto-merge rule; franchise operator/employer identity still unconfirmed."
107,Nestlé,employer_candidate,approve_unchanged,na,https://www.nestle.com/jobs/search-jobs,
108,Classera,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Own-site language describes 'expansion into Kuwait, Qatar, and the UAE' as a forward-looking regional-partnership strategy rather than a confirmed established local office."
109,AlTijaria Group,employer_candidate,approve_unchanged,na,https://altijaria.com/en/careers,
110,IPEKYOL Group,employer_candidate,hold_manual_review,na,,"RECOVERY PASS 2 (2026-09-13): Confirmed real, operating physical stores in Kuwait (The Avenues Phase III; Khiran Mall) with a local phone number -- strong presence evidence. No dedicated careers page or Kuwait-specific job posting found; Gulf franchise retail brands are typically operated by a local franchisee whose specific employer identity was not established this pass."
111,Leidos,employer_candidate,approve_unchanged,na,https://careers.leidos.com/jobs/17404046-it-site-lead,
112,Fluor Corporation,employer_candidate,approve_unchanged,na,https://www.fluor.com/careers;https://www.fluor.com/careers,
113,KitchenPark,employer_candidate,approve_unchanged,na,https://www.kitchenpark.com/en/locations/,
114,Marriott International,employer_candidate,duplicate_or_alias,na,,"Parent brand of the individually-named Kuwait properties supplied separately (JW Marriott Kuwait #50, Courtyard by Marriott #13, Marriott Executive Apartments Kuwait City #80). Per the group/property reconciliation policy (consistent with the Qatar-pass precedent for Accor/Minor Hotels brands), the parent brand itself is not staged as a separate row -- only individually-confirmed properties would be, if evidence supports them. None of the three named Kuwait properties were independently confirmed via direct fetch this pass (Marriott property-search returned HTTP 403 each time)."
115,Alghanim Industries – Food and Beverage,employer_candidate,duplicate_or_alias,na,https://careers.alghanim.com/,"A business division of the already-present Alghanim Industries (#14, cc-alghanim-industries), not an independently confirmed distinct legal entity. Not staged as a separate row."
116,Kuwait National Bank/NBK employer entry,employer_candidate,duplicate_or_alias,na,https://careers.nbk.com/,"Explicit naming-variant restatement of the already-present National Bank of Kuwait (#81, cc-national-bank-of-kuwait). Not a separate row."
117,Al Mulla Group,possible_recruitment_or_staffing_source,already_present,already_present,https://careers.almullagroup.com,Exact match to existing verified Kuwait row cc-al-mulla-group in master-company-registry.csv.
118,Al Mulla Engineering,employer_candidate,approve_unchanged,na,https://almullaengineering.com/careers/;https://careers.almullagroup.com/,
119,Aloula or related OCR variant,employer_candidate,hold_manual_review,na,,"PASS 3 (2026-09-13): Domain correction. The real official domain for the likely-match candidate is oulasteel.com (NOT al-oula.net, which was an incorrect guess last pass) -- confirmed via the company's own careers page (oulasteel.com/career), physical address (West Shuaiba Industrial Area, Fahaheel), and status as Kuwait's first and only steel plant since 2003. Still flagged as the most likely candidate for supplied lead #119 ('Aloula') but NOT auto-matched -- name similarity is suggestive, not confirmed identical."
120,Millennium Hotels Kuwait group/property relationship,meta_reconciliation_item,duplicate_or_alias,na,,"Meta-item, not an independent lead. Each individually-named Kuwait property (Millennium Hotel & Convention Centre Kuwait #37, Millennium Central Kuwait Downtown Hotel #41) is treated as a distinct potential legal/operating entity at its own address; there is no single umbrella 'Millennium Hotels Kuwait' company to separately stage."
121,Hyatt Kuwait group/property relationship,meta_reconciliation_item,duplicate_or_alias,na,,"Meta-item, not an independent lead. Points to the two individually-named properties: Grand Hyatt Kuwait (#59) and Hyatt Regency Kuwait (#90). No separate umbrella 'Hyatt Kuwait' company to stage."
122,Marriott Kuwait group/property relationship,meta_reconciliation_item,duplicate_or_alias,na,,"Meta-item, not an independent lead. Points to the individually-named properties under parent Marriott International (#114): JW Marriott Kuwait (#50), Courtyard by Marriott (#13), Marriott Executive Apartments Kuwait City (#80)."
123,Hilton Kuwait group/property relationship,meta_reconciliation_item,duplicate_or_alias,na,,"Meta-item, not an independent lead. Points to the 4 confirmed Hilton-brand Kuwait properties found under lead #20: Hilton Garden Inn Kuwait, Waldorf Astoria Kuwait, Hampton by Hilton Kuwait Salmiya, and Hilton Kuwait Mangaf Resort (Coming Soon)."
124,Confidential Jobs,confidential_or_anonymized,reject_unsafe_or_invalid,na,,"Anonymized/confidential job-posting label, not a real named employer. Per explicit task rule, confidential/anonymized listings must never be invented into named employers. No real entity to resolve behind this label was pursued."
125,Confidential Careers,confidential_or_anonymized,reject_unsafe_or_invalid,na,,"Anonymized/confidential job-posting label, not a real named employer. Same rule as #124."
126,Private Company,confidential_or_anonymized,reject_unsafe_or_invalid,na,,"Anonymized/confidential job-posting label, not a real named employer. Same rule as #124."
127,Confidential,confidential_or_anonymized,reject_unsafe_or_invalid,na,,"Anonymized/confidential job-posting label, not a real named employer. Same rule as #124."
128,Spa Staff.com,employer_candidate,duplicate_or_alias,na,https://www.spastaff.com/,"Exact restatement of item #87 (SpaStaff / Spa Staff.com), supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #87."
129,SSC HR Solutions,employer_candidate,duplicate_or_alias,na,,"Exact restatement of item #44, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #44."
130,Libera Consultants,employer_candidate,duplicate_or_alias,na,,"Exact restatement of item #76, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #76."
131,HRInvest/HRIInvest,employer_candidate,duplicate_or_alias,na,,"Exact restatement of item #29, supplied twice in the original list for separate non-employer evaluation. Same entity, single decision tracked under #29."
