query_id,market,sector_or_function,source_type_target,query_string,tool_or_engine,purpose,sample_evidence_url,tested,notes
q-intl-006,International Remote,translation_language_services,direct_employer_social_enterprise,NaTakallam Lebanon careers press coverage Forbes OR NYT,WebSearch,find_new_press_evidence_for_the_registrys_own_flagged_priority_recheck_target,https://natakallam.com/press-media/,true,"Found Wamda (2016) and HuffPost coverage of the org's Syrian-refugee mission; found the org's own press-media page URL but it was blocked (403) on direct fetch, the third consecutive pass to fail against this domain."
q-intl-007,International Remote,customer_service_admin_virtual_assistant,remote_job_board,remote virtual assistant company hiring Lebanon OR MENA customer support,WebSearch,fill_the_explicitly_required_admin_and_customer_service_function_gap,https://himalayas.app/jobs/countries/lebanon/virtual-assistant,true,"Reconfirmed RemotelyX's existing description (Lebanon-origin talent, customer support/ops/media-buyer focus) and found Himalayas has dedicated per-function Lebanon pages (virtual-assistant, accounting, etc.)."
q-intl-008,International Remote,finance_accounting_bookkeeping,remote_job_board,remote bookkeeping accounting company hiring worldwide contractors Lebanon,WebSearch,fill_the_explicitly_required_finance_and_accounting_function_gap,https://www.bayt.com/en/lebanon/jobs/remote-accounting-jobs/,true,"Found BELAY (a virtual-staffing firm hiring bookkeepers) and confirmed Himalayas/Jobgether/Bayt all have dedicated Lebanon-tagged accounting job pages, though no single company's Lebanon eligibility was independently confirmed via this query alone."
q-intl-009,International Remote,cross_sector,source_directory_github_maintained_list,github awesome remote jobs companies list maintained 2026,WebSearch,find_and_freshness_check_github_hosted_remote_company_lists_per_task_requirement,https://github.com/yanirs/established-remote,true,Found 4 candidate GitHub lists; yanirs/established-remote was selected and its freshness independently confirmed via the GitHub commits API (last commit 2026-07-23).
q-intl-010,International Remote,hr_tech_payroll,eor_payroll_platform,"Deel OR Remote.com ""hire in Lebanon"" employer of record customers",WebSearch,confirm_whether_major_eor_platforms_support_lebanon,https://www.deel.com/contractors/lebanon,true,Confirmed both Deel and Remote.com explicitly support Lebanon (contractor payroll and full EOR employment respectively) - led to 2 direct WebFetch confirmations.
q-intl-011,International Remote,marketing_content_social_media,remote_job_board,remote marketing agency hiring worldwide contractors social media content Lebanon,WebSearch,fill_the_explicitly_required_marketing_and_content_function_gap,https://himalayas.app/jobs/countries/lebanon/social-media-marketing,true,"Confirmed Himalayas has dedicated Lebanon-tagged pages for content-creator, social-media-marketing, and social-media-management roles; found a local Lebanon/Levant marketing agency (Chain Reaction) that was correctly NOT added to this file since it appears to be a Levant-region employer, not an international-remote one - out of scope for this specific market file."
q-intl-012,International Remote,software_engineering_cross_sector,ats_ecosystem_directory,Ashby job board ecosystem list of companies using Ashby ATS remote,WebSearch,discover_a_third_major_ats_ecosystem_beyond_greenhouse_lever_workable,https://www.ashbyhq.com/integrations,true,"Found 135+ named companies (OpenAI, Anthropic, Figma, Notion, etc.) using Ashby plus a third-party aggregator claiming to index all Ashby/Lever/Greenhouse postings - a genuinely new ATS ecosystem for this project, not individually checked for Lebanon eligibility."
q-intl-013,International Remote,hr_tech_payroll,eor_payroll_platform,deel.com Lebanon hiring guide country page,WebSearch,locate_deels_specific_lebanon_page_for_direct_fetch,https://www.deel.com/contractors/lebanon,true,Found the correct URL (deel.com/contractors/lebanon) after an initial guessed URL 404'd - then directly WebFetched and confirmed.
q-intl-014,International Remote,hr_tech_payroll,eor_payroll_platform,remote.com Lebanon employer of record country page,WebSearch,locate_remote_coms_specific_lebanon_page_for_direct_fetch,https://remote.com/country-explorer/lebanon/employer-of-record,true,"Found the correct URL after an initial guessed URL (remote.com/lebanon) 404'd - then directly WebFetched and confirmed, including the strong 'owns its own Lebanon legal entity' claim."
q-intl-015,International Remote,hr_recruiting_people_ops,eor_payroll_platform,remote HR recruiting company hiring worldwide contractors people operations Lebanon MENA,WebSearch,fill_the_explicitly_required_hr_and_recruiting_function_gap,https://www.globalization-partners.com/globalpedia/lebanon/recruiting-hiring/,true,"Found a third EOR provider (Globalization Partners / G-P) explicitly confirming a 'Lebanon PEO' - not directly WebFetched this pass but a real, named, third corroborating source."
q-intl-016,International Remote,technology_software,direct_employer,DuckDuckGo careers remote eligible countries list Lebanon OR worldwide,WebSearch,test_a_well_known_established_remote_list_company_for_lebanon_eligibility,https://duckduckgo.com/hiring,true,"Confirmed DuckDuckGo is fully remote (335+ people, 15+ countries) but found NO explicit eligible-country list or Lebanon statement, even after a direct WebFetch of its own hiring page - correctly classified location_unclear rather than assumed worldwide_remote."
q-intl-017,International Remote,technology_software,direct_employer,Doist Todoist careers remote eligible countries list,WebSearch,test_a_second_established_remote_list_company_for_lebanon_eligibility,https://www.todoist.com/careers,true,"Confirmed Doist is fully remote (20+ countries, 18 timezones) but found no explicit eligible-country list or Lebanon statement - correctly classified location_unclear, consistent with the DuckDuckGo finding."
q-intl-018,International Remote,legal_recruiting,recruitment_or_staffing_platform,micro1 company what is AI recruiting OR staffing platform,WebSearch,classify_a_himalayas_sourced_company_correctly_per_the_employer_vs_platform_distinction,https://www.micro1.ai/careers,true,"IMPORTANT CLASSIFICATION FINDING: micro1 (which appeared on the Himalayas Lebanon-filtered page hiring 'BigLaw Lawyers') is itself an AI-powered EOR/recruiting PLATFORM, not a direct law-firm employer - the lawyer postings are almost certainly micro1 placing candidates with client firms, not micro1's own internal legal team. Correctly reclassified as a recruitment/staffing platform rather than a direct employer."
